Record Time,Distance (cm),Moving Average (cm)
2022-09-01 19:30:00,176573.34479877912,176573.34479877912
2022-09-01 23:30:00,176570.67432183752,176572.0095603083
2022-09-02 07:30:00,176566.44606667993,176570.15506243217
2022-09-02 11:30:00,176567.92966498082,176569.59871306934
2022-09-02 15:30:00,176568.57121235473,176569.3932129264
2022-09-02 19:30:00,176565.7063436854,176568.77873471958
2022-09-02 23:30:00,176566.70826520512,176568.48295336036
2022-09-03 03:30:00,176567.91597646696,176568.4120812487
2022-09-03 07:30:00,176550.7733271456,176566.4522196817
2022-09-03 11:30:00,176560.22971824824,176565.82996953835
2022-09-03 15:30:00,176563.6528945,176565.6320536258
2022-09-03 19:30:00,176565.96880907044,176565.6601165795
2022-09-03 23:30:00,176563.30465226897,176565.47892701713
2022-09-04 07:30:00,176563.06899748163,176565.3067891932
2022-09-04 11:30:00,176569.970218815,176565.61768450128
2022-09-04 19:30:00,176558.57664815427,176565.17761972963
2022-09-04 23:30:00,176572.04800915538,176565.58176028405
2022-09-05 03:30:00,176560.6916136363,176565.31008547032
2022-09-05 07:30:00,176565.48275517905,176565.3191733497
2022-09-05 11:30:00,176562.78878987307,176565.19265417586
2022-09-05 19:30:00,176556.74701336992,176564.79048080416
2022-09-06 03:30:00,176554.193083878,176564.3087809439
2022-09-06 07:30:00,176553.76949545083,176563.85055113983
2022-09-06 11:30:00,176558.5896700029,176563.63134775913
2022-09-06 15:30:00,176560.942287223,176563.5237853377
2022-09-06 19:30:00,176558.5090363121,176563.33091037517
2022-09-06 23:30:00,176564.2229902634,176563.36395037101
2022-09-07 03:30:00,176565.35660808213,176563.43511671785
2022-09-07 07:30:00,176559.74774306166,176563.30796590212
2022-09-07 19:30:00,176564.70727734474,176563.35460961686
2022-09-07 23:30:00,176562.72000952114,176563.33413864605
2022-09-08 03:30:00,176554.31921957084,176563.05242242495
2022-09-08 07:30:00,176551.42172723004,176562.69997711602
2022-09-08 11:30:00,176557.3947544702,176562.54394115586
2022-09-08 15:30:00,176562.35856943854,176562.53864482106
2022-09-08 19:30:00,176557.3425481309,176562.39430880186
2022-09-08 23:30:00,176572.03456622074,176562.6548562997
2022-09-09 03:30:00,176568.07355643902,176562.7974536718
2022-09-09 07:30:00,176570.53565188075,176562.99586901045
2022-09-09 15:30:00,176563.9912858344,176563.02075443105
2022-09-09 23:30:00,176570.3531333154,176563.19959294045
2022-09-10 03:30:00,176576.45069324382,176563.5150953286
2022-09-10 07:30:00,176559.1011678287,176563.41244585186
2022-09-10 11:30:00,176545.05714842433,176562.99528000125
2022-09-10 15:30:00,176560.1638047413,176562.9323583288
2022-09-10 19:30:00,176563.454559299,176562.94371052383
2022-09-10 23:30:00,176560.95993870034,176562.9015026127
2022-09-11 07:30:00,176565.67282691973,176562.95923853575
2022-09-11 15:30:00,176561.72873842338,176562.93412628854
2022-09-11 19:30:00,176569.09428070945,176563.05732937696
2022-09-11 23:30:00,176563.60533121316,176563.06807451101
2022-09-12 03:30:00,176567.81333457734,176563.1593295123
2022-09-12 07:30:00,176568.6911068429,176563.26370266947
2022-09-12 11:30:00,176572.27237177518,176563.43052987513
2022-09-12 15:30:00,176572.48056904564,176563.59507604188
2022-09-12 19:30:00,176572.34072643463,176563.75124837033
2022-09-12 23:30:00,176563.1642197118,176563.74094962192
2022-09-13 19:30:00,176563.87438559116,176563.74325024206
2022-09-13 23:30:00,176568.62879180943,176563.82605603134
2022-09-14 03:30:00,176565.84359571163,176563.85968169267
2022-09-14 07:30:00,176555.1843038417,176563.71746238368
2022-09-14 15:30:00,176559.03689133667,176563.64196930226
2022-09-14 19:30:00,176569.98983389646,176563.74272905773
2022-09-14 23:30:00,176561.07596025176,176563.7010607951
2022-09-15 03:30:00,176556.9964163137,176563.59791241848
2022-09-15 11:30:00,176565.6235088067,176563.62860327287
2022-09-15 15:30:00,176563.6070447201,176563.6282815034
2022-09-15 23:30:00,176565.24517782737,176563.65205939053
2022-09-16 03:30:00,176563.30828507847,176563.64707715414
2022-09-16 07:30:00,176557.29407090414,176563.55631992198
2022-09-16 11:30:00,176564.99811489775,176563.57662689348
2022-09-16 15:30:00,176565.54210741245,176563.603925234
2022-09-16 19:30:00,176569.56261679583,176563.68555114578
2022-09-16 23:30:00,176566.73607550174,176563.72677444792
2022-09-17 03:30:00,176564.3251943369,176563.73475337974
2022-09-17 07:30:00,176555.54797058087,176563.6270325535
2022-09-17 11:30:00,176566.96012306018,176563.67031944316
2022-09-17 19:30:00,176579.0307062617,176563.8672474793
2022-09-18 03:30:00,176559.4949396378,176563.81190181043
2022-09-18 07:30:00,176547.3186944351,176563.60573671822
2022-09-18 11:30:00,176566.6999411578,176563.64393677303
2022-09-18 15:30:00,176564.78965087124,176563.6579088962
2022-09-18 19:30:00,176580.4104796364,176563.8597470979
2022-09-18 23:30:00,176569.57077038765,176563.92773547038
2022-09-19 03:30:00,176561.87298940326,176563.90356198724
2022-09-19 07:30:00,176557.36052983796,176563.82748021805
2022-09-19 11:30:00,176565.2599815927,176563.84394575108
2022-09-19 15:30:00,176566.72426833236,176563.87667668954
2022-09-19 19:30:00,176571.44922709579,176563.96176152554
2022-09-19 23:30:00,176572.39389811666,176564.0554519321
2022-09-20 03:30:00,176559.23831312222,176564.0025163408
2022-09-20 07:30:00,176551.4754843831,176563.86635294993
2022-09-20 11:30:00,176560.4630457795,176563.8297582492
2022-09-20 15:30:00,176560.7674013142,176563.79717998393
2022-09-20 23:30:00,176566.74600105762,176563.8282202058
2022-09-21 03:30:00,176555.72842540685,176563.74384734326
2022-09-21 07:30:00,176556.8138224744,176563.6724037879
2022-09-21 11:30:00,176565.89867350835,176563.6951208259
2022-09-21 15:30:00,176561.55537081198,176563.67350718938
2022-09-21 19:30:00,176557.5879850451,176563.61265196794
2022-09-21 23:30:00,176565.0676603635,176563.62705799166
2022-09-22 03:30:00,176566.84811942664,176563.65863702534
2022-09-22 07:30:00,176556.77826468484,176563.5918372939
2022-09-22 11:30:00,176558.7912804801,176563.54567809374
2022-09-22 15:30:00,176560.7785638029,176563.5193246243
2022-09-22 23:30:00,176569.9307084313,176563.5798093772
2022-09-23 03:30:00,176565.7012147252,176563.5996355954
2022-09-23 11:30:00,176558.35022279006,176563.55102992128
2022-09-23 19:30:00,176558.55771614585,176563.50521970316
2022-09-24 03:30:00,176566.7803780116,176563.5349938696
2022-09-24 15:30:00,176563.76992136348,176563.5371103335
2022-09-24 19:30:00,176562.71117410064,176563.52973590285
2022-09-24 23:30:00,176562.95321924324,176563.52463398554
2022-09-25 07:30:00,176557.87070810053,176563.47503814442
2022-09-25 11:30:00,176556.95932332915,176563.41837975473
2022-09-25 19:30:00,176560.5932273192,176563.39402499233
2022-09-25 23:30:00,176558.77213923598,176563.3545216953
2022-09-26 03:30:00,176560.41851619413,176563.32964029274
2022-09-26 07:30:00,176564.88167171,176563.34268257357
2022-09-26 11:30:00,176549.1166869861,176563.2241326103
2022-09-26 15:30:00,176563.80415996062,176563.22892622478
2022-09-26 19:30:00,176564.4973840193,176563.2393234198
2022-09-26 23:30:00,176555.72561484532,176563.17823635822
2022-09-27 03:30:00,176563.78115032497,176563.18309856765
2022-09-27 07:30:00,176566.70865475707,176563.21130301716
2022-09-27 11:30:00,176560.80412687958,176563.19219844462
2022-09-27 15:30:00,176559.90707540055,176563.16633133407
2022-09-27 19:30:00,176566.32770534462,176563.19102956852
2022-09-27 23:30:00,176557.7817538798,176563.14909719882
2022-09-28 07:30:00,176565.56441510917,176563.1676765674
2022-09-28 11:30:00,176562.78768744873,176563.16477588707
2022-09-28 15:30:00,176562.8103449303,176563.16209080408
2022-09-28 19:30:00,176562.2149972722,176563.1549698001
2022-09-28 23:30:00,176554.6829390498,176563.09174569
2022-09-29 03:30:00,176563.20768519075,176563.09260450111
2022-09-29 07:30:00,176567.00442898608,176563.12136791646
2022-09-29 11:30:00,176564.11067883964,176563.12858916406
2022-09-29 15:30:00,176566.27652334984,176563.15140028135
2022-09-29 19:30:00,176570.51219738802,176563.20435565623
2022-09-29 23:30:00,176563.059997273,176563.2033245249
2022-09-30 03:30:00,176558.57716485776,176563.17051488187
2022-09-30 07:30:00,176565.18422358792,176563.1846959291
2022-09-30 15:30:00,176563.40502241536,176563.1862366738
2022-09-30 19:30:00,176556.73678283082,176563.14144879987
2022-09-30 23:30:00,176542.65321023014,176563.00015060283
2022-10-01 03:30:00,176554.08932703856,176562.9391175647
2022-10-01 07:30:00,176565.20489064264,176562.95453098702
2022-10-01 11:30:00,176561.39580751015,176562.94399907163
2022-10-01 15:30:00,176560.1523095767,176562.92526290054
2022-10-01 19:30:00,176576.29076409512,176562.9450344798
2022-10-01 23:30:00,176569.9598967159,176562.94023968035
2022-10-02 03:30:00,176561.844089256,176562.93293201085
2022-10-02 07:30:00,176563.95211377536,176562.91630565817
2022-10-02 11:30:00,176564.97297828237,176562.89659441353
2022-10-02 15:30:00,176562.06663771995,176562.8532305826
2022-10-02 19:30:00,176562.63697188883,176562.83276810395
2022-10-02 23:30:00,176557.68075373457,176562.77258469412
2022-10-03 03:30:00,176552.71114514887,176562.671219152
2022-10-03 11:30:00,176557.6890500217,176562.73401931164
2022-10-03 19:30:00,176557.69149848283,176562.67188292125
2022-10-03 23:30:00,176564.24255203822,176562.67822008184
2022-10-04 03:30:00,176563.56156342302,176562.68414856066
2022-10-04 07:30:00,176552.2430672548,176562.61149131082
2022-10-04 11:30:00,176563.31853645662,176562.56684914732
2022-10-04 15:30:00,176557.55514780994,176562.53343780508
2022-10-04 19:30:00,176559.6046193686,176562.54029094652
2022-10-04 23:30:00,176561.6145042125,176562.4707342469
2022-10-05 03:30:00,176572.43621062668,176562.54903156016
2022-10-05 07:30:00,176553.473513862,176562.46896995138
2022-10-05 11:30:00,176563.87283999336,176562.4761969522
2022-10-05 15:30:00,176563.72254481172,176562.48445091152
2022-10-05 19:30:00,176563.70818050473,176562.5305513561
2022-10-05 23:30:00,176572.29690984063,176562.59480371457
2022-10-06 03:30:00,176575.87085365815,176562.737420621
2022-10-06 11:30:00,176561.68483131216,176562.81730861097
2022-10-06 15:30:00,176560.28117592676,176562.81293039044
2022-10-06 19:30:00,176565.5677066693,176562.85967655177
2022-10-06 23:30:00,176554.31699037628,176562.79407390347
2022-10-07 03:30:00,176564.2801415049,176562.78694498577
2022-10-07 07:30:00,176557.13670288085,176562.76965332893
2022-10-07 15:30:00,176563.67578993028,176562.77561475392
2022-10-07 19:30:00,176562.14138081737,176562.75873385574
2022-10-08 03:30:00,176566.44790648101,176562.83931273813
2022-10-08 07:30:00,176555.8095101142,176562.86837090296
2022-10-08 11:30:00,176554.76439797695,176562.8509513235
2022-10-08 15:30:00,176563.40828807472,176562.8579031026
2022-10-08 19:30:00,176561.36227664707,176562.8845238212
2022-10-08 23:30:00,176559.3037513992,176562.8002137893
2022-10-09 03:30:00,176563.93926638455,176562.77283438496
2022-10-09 07:30:00,176558.3782914483,176562.69232206422
2022-10-09 11:30:00,176566.22093519667,176562.7155366243
2022-10-09 15:30:00,176566.57278857668,176562.73252019493
2022-10-09 19:30:00,176564.08329056998,176562.74134875947
2022-10-09 23:30:00,176563.60499351562,176562.69724327064
2022-10-10 03:30:00,176569.2510224749,176562.6501865989
2022-10-10 07:30:00,176570.49472871074,176562.72465431708
2022-10-10 11:30:00,176561.99514264084,176562.83536016167
2022-10-10 15:30:00,176562.56356832804,176562.85104489097
2022-10-10 19:30:00,176565.29404781168,176562.8630676917
2022-10-10 23:30:00,176568.5514392019,176562.91268534207
2022-10-11 03:30:00,176562.3451374583,176562.9089999662
2022-10-11 07:30:00,176560.73701845738,176562.8769492619
2022-10-11 11:30:00,176560.8870605919,176562.8641112705
2022-10-11 15:30:00,176559.63674986997,176562.85061457014
2022-10-11 19:30:00,176555.2423534704,176562.7612472976
2022-10-11 23:30:00,176553.0425331351,176562.69310021325
2022-10-12 03:30:00,176560.5135794684,176562.646005019
2022-10-12 07:30:00,176558.7977220713,176562.58217673012
2022-10-12 23:30:00,176560.97301581243,176562.37468764486
2022-10-13 03:30:00,176556.03702511877,176562.33326501396
2022-10-13 07:30:00,176562.8765641202,176562.33679293023
2022-10-13 11:30:00,176563.04312292804,176562.34134989796
2022-10-13 19:30:00,176558.02423550803,176562.3036069942
2022-10-13 23:30:00,176547.86569277663,176562.16965151654
2022-10-14 03:30:00,176564.34756471784,176562.1599997037
2022-10-14 11:30:00,176565.49185163935,176562.2265000121
2022-10-14 15:30:00,176559.61121662523,176562.23020533653
2022-10-14 19:30:00,176551.951220895,176562.11382718815
2022-10-14 23:30:00,176552.60609258796,176562.0591828806
2022-10-15 03:30:00,176550.87955346343,176562.0197192493
2022-10-15 07:30:00,176560.6846847361,176562.01116133574
2022-10-15 11:30:00,176560.95250851073,176561.9812190262
2022-10-15 15:30:00,176563.79581059996,176561.98242906388
2022-10-15 19:30:00,176556.42606766574,176561.947038227
2022-10-15 23:30:00,176555.5709429762,176561.88541889668
2022-10-16 03:30:00,176554.99351506727,176561.83245857814
2022-10-16 11:30:00,176555.31488967582,176561.79947885027
2022-10-16 15:30:00,176556.84102802136,176561.74370270033
2022-10-16 23:30:00,176552.08924713885,176561.5987624264
2022-10-17 03:30:00,176546.51788593136,176561.4838765657
2022-10-17 07:30:00,176564.1928341841,176561.5396498793
2022-10-17 11:30:00,176561.4566591524,176561.50414366054
2022-10-17 15:30:00,176561.98320250874,176561.50721455057
2022-10-17 19:30:00,176555.91605807914,176561.3590437289
2022-10-17 23:30:00,176552.79800212992,176561.30451480154
2022-10-18 03:30:00,176551.01468919718,176561.2505004675
2022-10-18 07:30:00,176561.73423181803,176561.34231917694
2022-10-18 11:30:00,176561.6897158504,176561.31040691384
2022-10-18 15:30:00,176560.65407154395,176561.2840656442
2022-10-18 19:30:00,176560.53760176004,176561.1574868043
2022-10-18 23:30:00,176558.26174788122,176561.08545481376
2022-10-19 03:30:00,176550.26094669593,176561.0114927583
2022-10-19 07:30:00,176556.00431083955,176561.00285442075
2022-10-19 19:30:00,176564.68241627363,176560.89481989233
2022-10-19 23:30:00,176560.80589488332,176560.82005858113
2022-10-20 03:30:00,176556.92009056246,176560.80510230656
2022-10-20 07:30:00,176549.57705221247,176560.79285435705
2022-10-20 15:30:00,176555.809135916,176560.7627994426
2022-10-20 19:30:00,176558.4164983632,176560.7476620163
2022-10-21 03:30:00,176560.6431179583,176560.7406253508
2022-10-21 15:30:00,176564.95828392994,176560.7549126392
2022-10-21 19:30:00,176545.41108617533,176560.67480146245
2022-10-21 23:30:00,176562.84933133944,176560.66020719256
2022-10-22 03:30:00,176560.74455507429,176560.6200521639
2022-10-22 07:30:00,176547.82207831187,176560.5611298851
2022-10-22 11:30:00,176557.52149627885,176560.55277604167
2022-10-22 15:30:00,176562.5402880958,176560.56436633313
2022-10-22 23:30:00,176560.86116168325,176560.5046982624
2022-10-23 03:30:00,176560.28196947812,176560.46904533313
2022-10-23 07:30:00,176547.48057887424,176560.3841533955
2022-10-23 11:30:00,176558.06063605504,176560.38226067176
2022-10-23 15:30:00,176561.6349874514,176560.39039526123
2022-10-23 19:30:00,176539.65904823158,176560.2676766384
2022-10-23 23:30:00,176557.96891997,176560.25284595022
2022-10-24 03:30:00,176564.17459225055,176560.23603442917
2022-10-24 07:30:00,176562.84745372887,176560.25277429647
2022-10-24 11:30:00,176559.856401612,176560.25024962972
2022-10-24 19:30:00,176562.08193280155,176560.22365403338
2022-10-24 23:30:00,176566.50957285851,176560.24645117193
2022-10-25 07:30:00,176572.6790028595,176560.3413761383
2022-10-25 11:30:00,176561.6543871206,176560.37147270108
2022-10-25 15:30:00,176560.15257971257,176560.3700784782
2022-10-25 19:30:00,176553.2691724529,176560.3234284472
2022-10-26 03:30:00,176552.49023546738,176560.2825502965
