Code,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
MOD,Record Time,Retrieval Time,Node Ref,UID,Module Number,Module ID(hex),Calibration State,Board Project,Drawing,Type,Firmware Version,Issue,Sub-Issue,Serial_WO,Serial_Batch,Sensor Serial,Warm-up(s)
REP,Record Time,Retrieval Time,Node Ref,UID,Module Number,Repeat Sample,Repeat Value(s),,,,,,,,,,
BAS,Record Time,Retrieval Time,Node Ref,UID,CIS(dec),WKT(dec),RXW(ms),Range Addr1,Range Addr2,....,,,,,,,
WUL,Record Time,Retrieval Time,Node Ref,UID,Event Mask(hex),Repeat Time(s),,,,,,,,,,,
SLG,Record Time,Retrieval Time,Node Ref,UID,Event,Start Time,Repeat Period(s),Jitter(s),Event Mask(hex),,,,,,,,
ERR,Record Time,Retrieval Time,Node Ref,UID,Ref tick time(s),Logging Mask,Error Type,Data,,,,,,,,,
BAT,Record Time,Retrieval Time,Node Ref,UID,UsedPercentage %,Volts V,,,,,,,,,,,
PAG,Record Time,Retrieval Time,Node Ref,UID,Page Number,,,,,,,,,,,,
BSL,Record Time,Retrieval Time,Node Ref,UID,RangeNode Ref,RangeAddress,Range(ms),TAT(ms),,,,,,,,,
TMP,Record Time,Retrieval Time,Node Ref,UID,Index,Temperature Deg C,Serial Number,,,,,,,,,,
INC,Record Time,Retrieval Time,Node Ref,UID,Index,Pitch (deg),Roll (deg),Serial Number,,,,,,,,,
DQZ,Record Time,Retrieval Time,Node Ref,UID,Index,Pressure (kPa),Temperature (Deg C),Serial Number,,,,,,,,,
TIM,Record Time,Retrieval Time,Node Ref,UID,,,,,,,,,,,,,
SSP,Record Time,Retrieval Time,Node Ref,UID,Index,SoundSpeed (m/s),Serial Number,,,,,,,,,,
# Data,,,,,,,,,,,,,,,,,
PAG,9/12/23 11:18,9/12/23 13:20,East,6870,0,,,,,,,,,,,,
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,1,103,0,0,0,0,0,0,,0,0,0,0
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,2,106,0,0,0,0,0,0,,0,0,0,0
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,2,106,0,0,0,0,0,0,,0,0,0,0
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,3,102,0,0,0,0,0,0,,0,0,156052,0
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,4,101,0,0,0,0,0,0,,0,0,0,0
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,5,202,0,0,0,0,0,0,,0,0,0,0
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,6,502,0,0,0,0,0,0,,0,0,0,0
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,7,104,0,0,0,0,0,0,,0,0,340085001,0
MOD,9/12/23 11:18,9/12/23 13:20,East,6870,255,0,0,0,0,0,0,0,,0,0,0,0
PAG,8/19/22 19:14,9/3/23 13:20,East,6870,1,,,,,,,,,,,,
MOD,8/19/22 19:14,9/3/23 13:20,East,6870,1,103,0,8305,39,1,1,0,H,335345,4,0,2
MOD,8/19/22 19:14,9/3/23 13:20,East,6870,3,102,0,8305,41,1,1,0,P,338919,4,156052,2
MOD,8/19/22 19:14,9/3/23 13:20,East,6870,4,101,0,8305,40,1,1,0,K,335209,4,0,1
MOD,8/19/22 19:14,9/3/23 13:20,East,6870,5,502,0,8305,110,1,1,2,B,331182,6,0,8
MOD,8/19/22 19:14,9/3/23 13:20,East,6870,6,502,0,8305,110,1,1,2,B,331182,6,0,8
MOD,8/19/22 19:14,9/3/23 13:20,East,6870,7,104,0,8305,110,1,1,2,B,331182,6,340064001,2
TIM,8/19/22 19:14,9/3/23 13:20,East,6870,,,,,,,,,,,,,
REP,8/19/22 19:14,9/3/23 13:20,East,6870,1,1,0,,,,,,,,,,
REP,8/19/22 19:14,9/3/23 13:20,East,6870,2,1,0.1,,,,,,,,,,
REP,8/19/22 19:14,9/3/23 13:20,East,6870,3,1,0,,,,,,,,,,
REP,8/19/22 19:14,9/3/23 13:20,East,6870,4,1,5.5,,,,,,,,,,
REP,8/19/22 19:14,9/3/23 13:20,East,6870,5,1,0,,,,,,,,,,
REP,8/19/22 19:14,9/3/23 13:20,East,6870,6,1,0,,,,,,,,,,
REP,8/19/22 19:14,9/3/23 13:20,East,6870,7,1,0,,,,,,,,,,
REP,8/19/22 19:14,9/3/23 13:20,East,6870,21,1,0.1,,,,,,,,,,
BAS,8/19/22 19:14,9/3/23 13:20,East,6870,1,1,6400,2501,2503,2504,,,,,,,
WUL,8/19/22 19:14,9/3/23 13:20,East,6870,40,100,,,,,,,,,,,
TIM,8/19/22 19:14,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SLG,8/19/22 19:14,9/3/23 13:20,East,6870,1,8/19/22 19:45,14400,0,D,,,,,,,,
SLG,8/19/22 19:14,9/3/23 13:20,East,6870,2,8/19/22 19:30,14400,30,8040,,,,,,,,
SLG,8/19/22 19:14,9/3/23 13:20,East,6870,3,8/19/22 19:25,864000,0,4000,,,,,,,,
TIM,8/19/22 19:14,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SLG,8/19/22 19:14,9/3/23 13:20,East,6870,1,8/19/22 19:45,14400,0,D,,,,,,,,
SLG,8/19/22 19:14,9/3/23 13:20,East,6870,2,8/19/22 19:30,14400,30,8040,,,,,,,,
SLG,8/19/22 19:14,9/3/23 13:20,East,6870,3,8/19/22 19:25,864000,0,4000,,,,,,,,
TIM,8/19/22 19:25,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BAT,8/19/22 19:25,9/3/23 13:20,East,6870,1,14.2,,,,,,,,,,,
TIM,8/19/22 19:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/19/22 19:30,9/3/23 13:20,East,6870,Cabled,2501,79.952,80,,,,,,,,,
BSL,8/19/22 19:30,9/3/23 13:20,East,6870,West,2503,239.938,240,,,,,,,,,
BSL,8/19/22 19:30,9/3/23 13:20,East,6870,North,2504,319.939,320,,,,,,,,,
TIM,8/19/22 19:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/19/22 19:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/19/22 19:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/19/22 19:45,9/3/23 13:20,East,6870,4,20.3219,0,,,,,,,,,,
INC,8/19/22 19:45,9/3/23 13:20,East,6870,1,-0.9531,3.0344,0,,,,,,,,,
DQZ,8/19/22 19:45,9/3/23 13:20,East,6870,3,102.33192,20.03,156052,,,,,,,,,
PAG,8/19/22 20:30,9/3/23 13:20,East,6870,2,,,,,,,,,,,,
TIM,8/19/22 20:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/19/22 20:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/19/22 23:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/19/22 23:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/19/22 23:30,9/3/23 13:20,East,6870,West,2503,239.939,240,,,,,,,,,
BSL,8/19/22 23:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/19/22 23:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/19/22 23:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/19/22 23:45,9/3/23 13:20,East,6870,4,23.5883,0,,,,,,,,,,
INC,8/19/22 23:45,9/3/23 13:20,East,6870,1,-0.9344,0.7531,0,,,,,,,,,
DQZ,8/19/22 23:45,9/3/23 13:20,East,6870,3,102.9912,28.19,156052,,,,,,,,,
TIM,8/20/22 0:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/20/22 0:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 3:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/20/22 3:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/20/22 3:30,9/3/23 13:20,East,6870,West,2503,239.94,240,,,,,,,,,
BSL,8/20/22 3:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/20/22 3:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 3:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/20/22 3:45,9/3/23 13:20,East,6870,4,18.9286,0,,,,,,,,,,
INC,8/20/22 3:45,9/3/23 13:20,East,6870,1,-0.9375,0.7219,0,,,,,,,,,
DQZ,8/20/22 3:45,9/3/23 13:20,East,6870,3,102.49008,21.18,156052,,,,,,,,,
TIM,8/20/22 4:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/20/22 4:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
