Record Time,Distance (cm),Moving Average (cm)
2022-09-01 19:30:00,164217.7494766185,164217.7494766185
2022-09-01 23:30:00,164211.08190093862,164214.41568877856
2022-09-02 03:30:00,164216.55773207342,164215.12970321017
2022-09-02 11:30:00,164217.15347479447,164215.63564610627
2022-09-02 15:30:00,164212.86206740345,164215.0809303657
2022-09-02 19:30:00,164206.1926860069,164213.59955630588
2022-09-02 23:30:00,164201.06164248523,164211.8084257601
2022-09-03 07:30:00,164207.65602198686,164211.28937528844
2022-09-03 11:30:00,164208.25501855393,164210.95222454017
2022-09-03 19:30:00,164209.84885184726,164210.84188727086
2022-09-03 23:30:00,164211.40320243355,164210.892915922
2022-09-04 07:30:00,164209.13569554573,164210.74648089067
2022-09-04 15:30:00,164213.58784643596,164210.96504747108
2022-09-04 19:30:00,164208.71732238051,164210.8044956789
2022-09-04 23:30:00,164197.2547244785,164209.90117759883
2022-09-05 03:30:00,164208.02796499242,164209.78410181095
2022-09-05 07:30:00,164209.26590772084,164209.75361980568
2022-09-05 11:30:00,164212.20901390075,164209.89003058872
2022-09-05 19:30:00,164205.8963326694,164209.67983596137
2022-09-05 23:30:00,164205.9310318934,164209.492395758
2022-09-06 03:30:00,164210.20641290836,164209.52639657469
2022-09-06 07:30:00,164203.9658655734,164209.27364516552
2022-09-06 11:30:00,164206.47077649442,164209.15178131024
2022-09-06 15:30:00,164208.9642137849,164209.1439659967
2022-09-06 19:30:00,164205.10877468734,164208.98255834432
2022-09-06 23:30:00,164196.85878102845,164208.51625921676
2022-09-07 03:30:00,164203.4718750807,164208.3294301747
2022-09-07 07:30:00,164200.5943981633,164208.05317903144
2022-09-07 11:30:00,164209.3632087942,164208.09835247154
2022-09-07 19:30:00,164203.61629710245,164207.9489506259
2022-09-07 23:30:00,164202.56622956996,164207.7753144628
2022-09-08 03:30:00,164201.2493852643,164207.57137917535
2022-09-08 07:30:00,164208.8371969533,164207.60973728984
2022-09-08 11:30:00,164211.11563124822,164207.712851818
2022-09-08 15:30:00,164211.22657150906,164207.8132438092
2022-09-08 19:30:00,164209.12341796816,164207.84963753584
2022-09-08 23:30:00,164208.84305440902,164207.8764866405
2022-09-09 03:30:00,164208.62195610016,164207.89610425787
2022-09-09 07:30:00,164203.8882154007,164207.79333787694
2022-09-09 11:30:00,164208.11260810474,164207.80131963262
2022-09-09 15:30:00,164208.68990283553,164207.82299239366
2022-09-09 19:30:00,164206.4887723664,164207.79122525017
2022-09-09 23:30:00,164201.14107170422,164207.63657051654
2022-09-10 03:30:00,164203.47090588737,164207.5418963204
2022-09-10 07:30:00,164202.94895555012,164207.43983096996
2022-09-10 11:30:00,164195.94864541397,164207.1900225883
2022-09-10 15:30:00,164208.94815774998,164207.2274297194
2022-09-10 19:30:00,164205.16324249026,164207.18442581882
2022-09-10 23:30:00,164207.58337245026,164207.19256758678
2022-09-11 03:30:00,164205.8894734858,164207.16650570478
2022-09-11 07:30:00,164202.09435807212,164207.06705182962
2022-09-11 11:30:00,164209.433654545,164207.1125634203
2022-09-11 15:30:00,164211.65895198076,164207.19834433653
2022-09-11 19:30:00,164209.49497289496,164207.240874495
2022-09-11 23:30:00,164209.77651609387,164207.28697706954
2022-09-12 03:30:00,164212.0874248943,164207.37269935216
2022-09-12 07:30:00,164209.135212156,164207.4036206294
2022-09-12 11:30:00,164207.98011287945,164207.41356015095
