date_1day,depth_diff_mean,pressure_diff_mean
2018/01/01,-21.1446528737628,-14.1734434971349
2018/01/02,-21.1463099644128,-14.1722544261566
2018/01/03,-21.14613287029,-14.1666965271748
2018/01/04,-21.1457740187565,-14.1632681660299
2018/01/05,-21.1451935094875,-14.1603099131052
2018/01/06,-21.1462214273311,-14.1596223129016
2018/01/07,-21.1491163134121,-14.1614002084781
2018/01/08,-21.1511830929627,-14.1644100086881
2018/01/09,-21.1537523784722,-14.1695229513889
2018/01/10,-21.1521768505586,-14.1729033868715
2018/01/11,-21.1490519392034,-14.1752561495458
2018/01/12,-21.1508265022577,-14.1796590656478
2018/01/13,-21.1509013023094,-14.18089751693
2018/01/14,-21.1531608234885,-14.1813814454482
2018/01/15,-21.1533844390413,-14.1786498957972
2018/01/16,-21.1546792325056,-14.1755163917347
2018/01/17,-21.1548780208333,-14.1714451909722
2018/01/18,-21.1556579468473,-14.1684245787737
2018/01/19,-21.1538816197183,-14.1583856338028
2018/01/20,-21.15546734375,-14.1653415277778
2018/01/21,-21.1563063390066,-14.1667310350816
2018/01/22,-21.1556492272964,-14.1684852404931
2018/01/23,-21.1542390964379,-14.1709242050391
2018/01/24,-21.159718183397,-14.1788214831539
2018/01/25,-21.1594117857782,-14.1832327243418
2018/01/26,-21.1609856869898,-14.1870767413583
2018/01/27,-21.1610251128864,-14.1879986627301
2018/01/28,-21.1624921820709,-14.1871998783878
2018/01/29,-21.1637920472304,-14.1841515019969
2018/01/30,-21.1642296752909,-14.1796661920472
2018/01/31,-21.1663531129766,-14.1767824064358
2018/02/01,-21.1674103196664,-14.1746489228631
2018/02/02,-21.1681742618965,-14.1739099861063
2018/02/03,-21.1692257952373,-14.1748577785503
2018/02/04,-21.1700524313998,-14.177035133727
2018/02/05,-21.1680426115645,-14.1785678416392
2018/02/06,-21.167324574505,-14.1819550712053
2018/02/07,-21.16754046875,-14.1862961284722
2018/02/08,-21.16816640625,-14.1902697743056
2018/02/09,-21.1696912673611,-14.19327609375
2018/02/10,-21.1700517019798,-14.1933905001737
2018/02/11,-21.1704294546717,-14.1914231156652
2018/02/12,-21.1712736321,-14.1882566614556
2018/02/13,-21.1754043063032,-14.1866898419865
2018/02/14,-21.1757417506078,-14.1829953803404
2018/02/15,-21.1763991484185,-14.1806888077859
2018/02/16,-21.1765228164612,-14.1796448168085
2018/02/17,-21.1775136876845,-14.180851103005
2018/02/18,-21.17912352328,-14.1839381167477
2018/02/19,-21.1800724257684,-14.1876634832436
2018/02/20,-21.1799637706342,-14.1913260121634
2018/02/21,-21.1805151920737,-14.1954748305232
2018/02/22,-21.1818251584507,-14.1994900528169
2018/02/23,-21.183388701547,-14.2022327655137
2018/02/24,-21.1840589462702,-14.2022767866458
2018/02/25,-21.1812745954411,-14.1977265703845
2018/02/26,-21.1836649287452,-14.1950210809871
2018/02/27,-21.1851145391304,-14.1911488
2018/02/28,-21.1874871238628,-14.1885204513646
2018/03/01,-21.1891007646854,-14.187233229058
2018/03/02,-21.1865558470895,-14.1851451259774
2018/03/03,-21.1883830697028,-14.1879356162002
2018/03/04,-21.1890362104898,-14.1914457103161
2018/03/05,-21.1885747090498,-14.195118464478
2018/03/06,-21.1893618327247,-14.1998612241349
2018/03/07,-21.1905829276773,-14.2043740438109
2018/03/08,-21.191677403094,-14.207515435425
2018/03/09,-21.1917377040639,-14.2081143799931
2018/03/10,-21.1942540066088,-14.2123239983478
2018/03/12,-21.1947819498607,-14.1941645682451
2018/03/13,-21.1967698506426,-14.1985219346995
2018/03/14,-21.1981752084781,-14.1961454308547
2018/03/15,-21.2005375578576,-14.1956113731541
2018/03/16,-21.20001695033,-14.195812156999
2018/03/17,-21.2015483064096,-14.1986346708355
2018/03/18,-21.2013793295119,-14.2014674309536
2018/03/19,-21.2029990104167,-14.2060694965278
2018/03/20,-21.2027830526133,-14.209448897378
2018/03/21,-21.2039732118056,-14.2132265277778
2018/03/22,-21.2053601909722,-14.2159843923611
2018/03/23,-21.2074117442668,-14.2175346768589
2018/03/24,-21.2078724982627,-14.2161124739402
2018/03/25,-21.2096297846474,-14.2139109239319
2018/03/26,-21.2104178993055,-14.2101272395833
2018/03/27,-21.2130311273233,-14.2076570957096
2018/03/28,-21.2132988531711,-14.2046655082537
2018/03/29,-21.2135728030566,-14.2033847169156
2018/03/30,-21.2124859996526,-14.2031070175439
2018/03/31,-21.2128926023085,-14.2055463798531
2018/04/01,-21.2142833767587,-14.2103720687858
2018/04/02,-21.2161098454593,-14.2160818197604
2018/04/03,-21.2165980381944,-14.2206342013889
2018/04/04,-21.215952527358,-14.2232154768108
2018/04/05,-21.2153411948593,-14.2239341959014
2018/04/06,-21.2182381382425,-14.2249198506426
2018/04/07,-21.2187959165943,-14.2225676629018
2018/04/08,-21.2207177318513,-14.2200143105245
2018/04/09,-21.2269349253213,-14.220056634248
2018/04/10,-21.2287605660705,-14.2177115818719
2018/04/11,-21.2229981587633,-14.211522859128
2018/04/12,-21.22395072942,-14.2115837443557
2018/04/13,-21.2259554783817,-14.2142623198472
2018/04/14,-21.2251450078139,-14.2166242576836
2018/04/15,-21.2256143576389,-14.2206664409722
2018/04/16,-21.2265735544366,-14.225006633096
2018/04/17,-21.2258947213058,-14.2275378711582
2018/04/18,-21.2291779301962,-14.2315521271054
2018/04/19,-21.2308724691358,-14.2319293518519
2018/04/20,-21.231886488364,-14.2323634595346
2018/04/21,-21.2322289089646,-14.2296965601112
2018/04/22,-21.2345763194445,-14.2273209375
2018/04/23,-21.2350318158123,-14.2235340573414
2018/04/24,-21.2365700973575,-14.2213393949931
2018/04/25,-21.2368841785342,-14.2198344043071
2018/04/26,-21.2378673726274,-14.2223693506493
2018/04/27,-21.2385822569444,-14.2226333680556
2018/04/28,-21.2404617095205,-14.226773123697
2018/04/29,-21.2407388879235,-14.2307703214596
2018/04/30,-21.2405972008398,-14.2347121413576
2018/05/01,-21.2410214657867,-14.2388592566863
2018/05/02,-21.2435068450313,-14.2426931028492
2018/05/03,-21.2442046220678,-14.2430416507385
2018/05/04,-21.2427474113968,-14.2396781097985
2018/05/05,-21.2434407291667,-14.2362155034722
2018/05/06,-21.2435557388435,-14.2319296579267
2018/05/07,-21.2449489668345,-14.229070029519
2018/05/08,-21.2453950173611,-14.2268138888889
2018/05/09,-21.2478933634468,-14.2274806810285
