date_1day,pressure_diff_mean,depth_diff_mean
2024/01/01,-21.6198749826389,-14.4758655902778
2024/01/02,-21.6162214236111,-14.4747437673611
2024/01/03,-21.6141806076389,-14.4762102951389
2024/01/04,-21.6126564409722,-14.4788440451389
2024/01/05,-21.6124365967366,-14.4791868492618
2024/01/06,-21.6174636458333,-14.4892767708333
2024/01/07,-21.6177815798611,-14.4919939236111
2024/01/08,-21.6146854513889,-14.4909469791667
2024/01/09,-21.62402140625,-14.49623203125
2024/01/10,-21.6207927083333,-14.490956875
2024/01/11,-21.6228565104167,-14.4876944444444
2024/01/12,-21.6229265451389,-14.4828414930555
2024/01/13,-21.6221590625,-14.4786109201389
2024/01/14,-21.6226290798611,-14.4772889236111
2024/01/15,-21.6178159027778,-14.4745758159722
2024/01/16,-21.6191251041667,-14.4776061979167
2024/01/17,-21.6161992361111,-14.4788450347222
2024/01/18,-21.6133586284722,-14.4807594965277
2024/01/19,-21.6085186631945,-14.4815696875
2024/01/20,-21.6143035215804,-14.4934249302126
2024/01/21,-21.6151802430556,-14.4920993923611
2024/01/22,-21.6212284722222,-14.4964125868055
2024/01/23,-21.6240391840278,-14.4961431076389
2024/01/24,-21.6267415036531,-14.5007092387462
2024/01/25,-21.6284315742237,-14.4911634176988
2024/01/26,-21.6197698263889,-14.4802142881944
2024/01/27,-21.6231058159722,-14.4795303819445
2024/01/28,-21.6235420833333,-14.47872625
2024/01/29,-21.6207794791667,-14.4776984722222
2024/01/30,-21.6160532118055,-14.4770312673611
2024/01/31,-21.6149998884758,-14.4799550185874
2024/02/01,-21.624506846473,-14.501709439834
2024/02/02,-21.6305902083333,-14.4978140451389
2024/02/03,-21.6349125,-14.5138035714286
2024/02/05,-21.6304870093458,-14.5159347663551
2024/02/06,-21.6348649826389,-14.5013036111111
2024/02/07,-21.6257621006944,-14.4912577430556
2024/02/08,-21.6201639236111,-14.4826565451389
2024/02/09,-21.6284319965278,-14.4836594444444
2024/02/10,-21.6323575694444,-14.4834263888889
2024/02/11,-21.6253467881944,-14.4783733854167
2024/02/12,-21.6245493229167,-14.4798809027778
2024/02/13,-21.6241006770833,-14.4831280555556
