Record Time,Distance (cm),Moving Average (cm)
2022-10-01 19:30:00,164203.7978151433,164208.87411124667
2022-10-01 23:30:00,164212.47057031942,164208.8827365223
2022-10-02 03:30:00,164206.32645628415,164208.81918822546
2022-10-02 07:30:00,164207.0897163431,164208.80851247313
2022-10-02 11:30:00,164209.97856448183,164208.76422290326
2022-10-02 15:30:00,164209.68003481024,164208.74458072678
2022-10-02 19:30:00,164202.36563071358,164208.72095692865
2022-10-02 23:30:00,164202.00404353085,164208.72677421905
2022-10-03 07:30:00,164205.77710424722,164208.71517596144
2022-10-03 11:30:00,164210.50021125775,164208.72903517564
2022-10-03 15:30:00,164214.1078217367,164208.76203386617
2022-10-03 19:30:00,164209.04302210477,164208.75709012547
2022-10-03 23:30:00,164207.56163355205,164208.7335222182
2022-10-04 03:30:00,164206.6579180395,164208.72086609516
2022-10-04 07:30:00,164209.7360840469,164208.72452700065
2022-10-04 11:30:00,164204.04124769112,164208.69614348965
2022-10-04 15:30:00,164206.63780304993,164208.6540220146
2022-10-04 19:30:00,164207.2061343636,164208.64486329936
2022-10-04 23:30:00,164206.1528734063,164208.6987914747
2022-10-05 03:30:00,164202.02540185035,164208.66241230414
2022-10-05 07:30:00,164205.73195341925,164208.64099439926
2022-10-05 11:30:00,164211.60100084174,164208.6373094716
2022-10-05 15:30:00,164207.51945455582,164208.63057540587
2022-10-05 19:30:00,164208.4614785656,164208.64602809201
2022-10-05 23:30:00,164202.69261528036,164208.6265195582
2022-10-06 03:30:00,164203.67835757651,164208.58719392368
2022-10-06 07:30:00,164205.08524908134,164208.59393719776
2022-10-06 11:30:00,164209.33790596636,164208.6112090621
2022-10-06 15:30:00,164212.1374285409,164208.63032481362
2022-10-06 19:30:00,164208.56778271132,164208.65116221138
2022-10-06 23:30:00,164211.2217579764,164208.7376861689
2022-10-07 03:30:00,164209.6593793549,164208.77496029102
2022-10-07 07:30:00,164209.18108424914,164208.82668731565
2022-10-07 11:30:00,164210.2425136121,164208.8319843326
2022-10-07 15:30:00,164208.52330702508,164208.83013596555
2022-10-07 19:30:00,164212.06211550222,164208.88070972837
2022-10-07 23:30:00,164212.0728200029,164208.93763541957
2022-10-08 03:30:00,164210.69738634877,164208.99421027637
2022-10-08 07:30:00,164209.16461992016,164208.99617089293
2022-10-08 11:30:00,164211.26034484588,164208.99703744138
2022-10-08 15:30:00,164211.92770709973,164209.00123585813
2022-10-08 19:30:00,164211.96180926182,164209.0182322132
2022-10-08 23:30:00,164211.3119080984,164209.03301576822
2022-10-09 03:30:00,164212.7995621319,164209.0580313732
2022-10-09 07:30:00,164211.19338498,164209.10177490363
2022-10-09 11:30:00,164211.30748664265,164209.12090591286
2022-10-09 15:30:00,164213.02526325756,164209.14686615486
2022-10-09 19:30:00,164207.74062980217,164209.15436230722
2022-10-09 23:30:00,164214.30340151297,164209.23317865335
2022-10-10 03:30:00,164214.35169992605,164209.29833310866
2022-10-10 07:30:00,164211.46253935923,164209.34931265243
2022-10-10 11:30:00,164210.02237491947,164209.4335864818
2022-10-10 15:30:00,164209.3210186525,164209.43581918182
2022-10-10 19:30:00,164210.3699203778,164209.4669968937
2022-10-10 23:30:00,164210.54441141174,164209.48472766596
2022-10-11 03:30:00,164212.65975951176,164209.52526830084
2022-10-11 07:30:00,164210.6472200062,164209.57648304297
2022-10-11 11:30:00,164206.9360006359,164209.56152703153
2022-10-11 15:30:00,164209.96219151578,164209.5513667892
2022-10-11 19:30:00,164209.75175623634,164209.55290441404
2022-10-11 23:30:00,164208.2646529432,164209.54385134127
2022-10-12 03:30:00,164215.42744812628,164209.56385148034
2022-10-12 11:30:00,164210.98554472416,164209.5845386561
2022-10-12 15:30:00,164208.61371764282,164209.55860416166
2022-10-12 19:30:00,164207.33984089294,164209.54653960228
2022-10-12 23:30:00,164205.890399611,164209.51760173956
2022-10-13 03:30:00,164210.11472810534,164209.50211534582
2022-10-13 07:30:00,164213.4751121534,164209.5250713018
2022-10-13 11:30:00,164210.2749068405,164209.51668647586
2022-10-13 15:30:00,164209.2462752018,164209.50549016162
2022-10-13 19:30:00,164209.02484638515,164209.49156155452
2022-10-13 23:30:00,164210.6165417013,164209.4963104913
2022-10-14 03:30:00,164207.33867180432,164209.4578235389
2022-10-14 07:30:00,164212.94064004766,164209.46702243076
2022-10-14 11:30:00,164207.6413085191,164209.43300207637
2022-10-14 15:30:00,164202.64410011534,164209.37775281793
2022-10-14 19:30:00,164197.9947284351,164209.30805729073
2022-10-14 23:30:00,164205.52938708587,164209.26408147006
2022-10-15 03:30:00,164212.17501603853,164209.2674998114
2022-10-15 07:30:00,164211.48554743562,164209.25831131102
2022-10-15 11:30:00,164216.30813606427,164209.30666852952
2022-10-15 15:30:00,164204.26729616564,164209.29404089396
2022-10-15 19:30:00,164196.23570062043,164209.21744583
2022-10-15 23:30:00,164202.02357443416,164209.19589778874
2022-10-16 03:30:00,164203.3907811029,164209.18340165887
2022-10-16 07:30:00,164203.40214768218,164209.1487833716
2022-10-16 11:30:00,164210.9500663996,164209.17958747112
2022-10-16 15:30:00,164208.4871510223,164209.17982231115
2022-10-16 19:30:00,164208.40797839826,164209.14970976385
2022-10-16 23:30:00,164203.25004256473,164209.09396832154
2022-10-17 03:30:00,164206.60702847966,164209.07916510815
2022-10-17 07:30:00,164214.9541141024,164209.11392812
2022-10-17 11:30:00,164215.7906586641,164209.16392581858
2022-10-17 15:30:00,164211.52079875258,164209.18592559287
2022-10-17 19:30:00,164206.3226066652,164209.16337815218
2022-10-17 23:30:00,164204.5970542966,164209.12108460427
2022-10-18 03:30:00,164207.25011679472,164209.0882822057
2022-10-18 07:30:00,164206.4998856659,164209.04998617462
2022-10-18 11:30:00,164210.36369708434,164209.05771388585
2022-10-18 15:30:00,164211.58721835975,164209.05879633094
2022-10-18 19:30:00,164209.50302353155,164209.06461852678
2022-10-18 23:30:00,164203.2986253944,164209.04468736594
2022-10-19 03:30:00,164202.15034435308,164209.02318964133
2022-10-19 07:30:00,164212.09764419624,164209.04116890772
2022-10-19 11:30:00,164203.97707884008,164208.99043505065
2022-10-19 15:30:00,164212.64816215326,164208.98902775446
2022-10-19 19:30:00,164204.75687752393,164208.96442222985
2022-10-19 23:30:00,164203.47914950934,164208.93207822047
