Record Time,Distance (cm),Moving Average (cm)
2022-10-01 15:30:00,164209.30085046953,164208.5519888979
2022-10-01 19:30:00,164204.7623966886,164208.3953208409
2022-10-01 23:30:00,164212.02536235438,164208.3983834442
2022-10-02 03:30:00,164205.43609218058,164208.26903832218
2022-10-02 07:30:00,164206.5703341789,164208.12095942302
2022-10-02 11:30:00,164209.68175643458,164208.06020123413
2022-10-02 19:30:00,164201.47528889286,164207.9724176925
2022-10-02 23:30:00,164202.74601050775,164207.99551143244
2022-10-03 03:30:00,164207.86252355436,164208.0205104538
2022-10-03 11:30:00,164209.98081759035,164208.0172824701
2022-10-03 19:30:00,164208.523622703,164207.97464666681
2022-10-03 23:30:00,164208.45203331814,164207.9356078672
2022-10-04 03:30:00,164207.62246975486,164207.93204947957
2022-10-04 07:30:00,164209.5876917719,164207.9346562704
2022-10-04 11:30:00,164203.37348812222,164207.83031028105
2022-10-04 15:30:00,164206.04421377738,164207.81024178097
2022-10-04 19:30:00,164206.90934337798,164207.78075641676
2022-10-04 23:30:00,164206.59806404103,164207.87740088694
2022-10-05 03:30:00,164202.91572498667,164207.80662037563
2022-10-05 07:30:00,164206.69650019106,164207.76774614147
2022-10-05 11:30:00,164211.82358584832,164207.7509100186
2022-10-05 15:30:00,164207.29685858477,164207.74586500262
2022-10-05 19:30:00,164208.31308221465,164207.76859612338
2022-10-05 23:30:00,164202.09904131683,164207.70629332328
2022-10-06 03:30:00,164203.75255006822,164207.6239579781
2022-10-06 11:30:00,164208.74432865836,164207.68162189308
2022-10-06 15:30:00,164212.87942085884,164207.72017788872
2022-10-06 19:30:00,164209.2355667146,164207.75778726907
2022-10-06 23:30:00,164211.5927468911,164207.92232230082
2022-10-07 03:30:00,164209.73357920945,164207.98200531193
2022-10-07 07:30:00,164209.40368074525,164208.07494030855
2022-10-07 15:30:00,164208.07810414385,164208.07497507596
2022-10-07 19:30:00,164211.83951579154,164208.16289409949
2022-10-07 23:30:00,164212.74061673842,164208.26491676766
