Record Time,Distance (cm),Moving Average (cm)
2022-09-30 16:30:00,326020.4371070467,326020.1070156461
2022-09-30 20:30:00,326008.9907555948,326019.77100232505
2022-10-01 00:30:00,326003.9291405627,326019.4311054396
2022-10-01 04:30:00,326010.58950247505,326019.29849431803
2022-10-01 08:30:00,326020.85555997107,326019.25477903115
2022-10-01 12:30:00,326012.76657834917,326019.2187334718
2022-10-01 16:30:00,326021.712615562,326019.1238126781
2022-10-01 20:30:00,326017.4795533098,326019.0489169273
2022-10-02 00:30:00,326041.407608373,326019.1744260801
2022-10-02 04:30:00,326027.5387516699,326019.2188930896
2022-10-02 08:30:00,326022.3766579069,326019.20141911786
2022-10-02 12:30:00,326019.48246351606,326019.16388785513
2022-10-02 16:30:00,326023.19295626646,326019.1283369331
2022-10-02 20:30:00,326004.4540187745,326019.10015149583
2022-10-03 00:30:00,326005.147233387,326019.0883249328
2022-10-03 04:30:00,326011.5769472676,326019.05992914044
2022-10-03 08:30:00,326004.4701483613,326019.04902426456
2022-10-03 12:30:00,326009.2368480301,326019.04762847145
2022-10-03 16:30:00,326026.57725287596,326019.0798065714
2022-10-03 20:30:00,326010.9999829012,326018.95282709046
2022-10-04 00:30:00,326015.6311059448,326018.9832304906
2022-10-04 04:30:00,326018.9581436709,326019.1673536569
2022-10-04 08:30:00,326009.483251828,326019.10306958505
2022-10-04 12:30:00,326007.1466722965,326019.05309454916
2022-10-04 16:30:00,326024.6025033319,326019.0888419652
2022-10-04 20:30:00,326019.21915849525,326019.09897125425
2022-10-05 00:30:00,326024.3462071033,326019.1202602262
2022-10-05 04:30:00,326013.1977468439,326019.062319044
2022-10-05 08:30:00,325999.32330398326,326018.8877960166
2022-10-05 12:30:00,326015.51909220737,326018.84856783797
2022-10-05 16:30:00,326028.83031724684,326018.90806567966
2022-10-05 20:30:00,326031.2906776451,326019.0475337669
2022-10-06 00:30:00,326043.1047219037,326019.3552312967
2022-10-06 04:30:00,326027.6431658915,326019.4792374402
2022-10-06 08:30:00,325978.7928669869,326019.27000946045
2022-10-06 12:30:00,326028.05257194967,326019.3478400993
2022-10-06 16:30:00,326021.54234842816,326019.3714227743
2022-10-06 20:30:00,326023.10810619895,326019.38091286883
2022-10-07 00:30:00,326029.1571913138,326019.48997920693
2022-10-07 04:30:00,326036.93733722245,326019.66491939314
2022-10-07 08:30:00,326026.6187417301,326019.79813841847
2022-10-07 12:30:00,326021.9309760866,326019.9177204256
2022-10-07 16:30:00,326020.0063503844,326019.901259064
2022-10-07 20:30:00,326017.52363241074,326019.8489962987
2022-10-08 00:30:00,326033.3536007605,326019.92258476414
2022-10-08 04:30:00,326022.4671229075,326019.9863720201
2022-10-08 08:30:00,326012.09216213925,326019.968654719
2022-10-08 12:30:00,326021.1656025473,326019.9603826879
2022-10-08 16:30:00,326029.1488083168,326020.11006641213
2022-10-08 20:30:00,326025.67854100466,326020.1766574719
2022-10-09 00:30:00,326020.43612822494,326020.07301348215
2022-10-09 04:30:00,326028.58442744834,326020.0794743881
2022-10-09 08:30:00,326027.44721052196,326020.12080566876
2022-10-09 12:30:00,326033.4624063624,326020.18097082153
2022-10-09 16:30:00,326028.41956763866,326020.27389210823
2022-10-09 20:30:00,326025.89435709245,326020.3087150462
2022-10-10 00:30:00,326033.3520231081,326020.3165826134
2022-10-10 04:30:00,326030.2523237197,326020.3968778729
2022-10-10 08:30:00,326025.40007384756,326020.58547194226
2022-10-10 12:30:00,326027.0496134067,326020.7222992971
2022-10-10 16:30:00,326023.4830755723,326020.7132555062
2022-10-10 20:30:00,326038.8660385375,326020.78839271265
2022-10-11 00:30:00,326031.43179440673,326020.81824594474
2022-10-11 04:30:00,326027.2297737608,326020.80923108046
2022-10-11 08:30:00,326017.80984616105,326020.82731371914
2022-10-11 12:30:00,326017.77315076423,326020.8724779789
2022-10-11 16:30:00,326018.93724494905,326020.89412074635
2022-10-11 20:30:00,326007.03070656233,326020.77422665054
2022-10-12 00:30:00,326020.5130130467,326020.7766426513
2022-10-12 04:30:00,326027.82990183454,326020.6702069482
2022-10-12 08:30:00,326018.5769014708,326020.6334144493
2022-10-12 12:30:00,326023.09320426994,326020.5764465179
2022-10-12 16:30:00,326020.595118742,326020.4929275072
2022-10-12 20:30:00,326019.4731178184,326020.3883143461
