Record Time,Area (m^2),Area MA (m^2)
2022-11-23 23:30:00,807110.0431281312,807110.0431281312
2023-01-22 15:30:00,807658.6469038479,807658.6469038479
2023-02-19 19:30:00,807716.428393139,807687.5376484934
2023-05-02 11:30:00,807806.2277775982,807806.2277775982
2023-05-05 03:30:00,807679.8175929963,807743.0226852973
2023-05-06 03:30:00,807458.4878436221,807648.1777380722
2023-05-06 23:30:00,807980.0827167752,807731.1539827479
2023-05-09 15:30:00,807658.4002662478,807716.6032394479
2023-05-12 07:30:00,807731.14823935,807719.0274060983
2023-05-13 11:30:00,807529.604433333,807691.9669814175
2023-05-14 03:30:00,807869.2516315773,807714.1275626875
2023-05-16 15:30:00,807568.7245506274,807697.9716724586
2023-05-17 03:30:00,807510.9088090912,807679.2653861218
2023-05-19 11:30:00,807826.5136744967,807692.6515941559
2023-05-19 23:30:00,807743.1995016788,807696.8639197828
2023-05-20 03:30:00,807830.1687397145,807707.1181367007
2023-05-22 11:30:00,807515.9656779737,807693.4643896486
2023-05-22 19:30:00,807757.8695195543,807697.7580649757
2023-05-22 23:30:00,807877.507277088,807708.9923907327
2023-05-25 23:30:00,807401.3872495972,807690.8979706661
2023-05-28 03:30:00,807484.3017908889,807679.4204051228
2023-05-28 23:30:00,807462.8185877498,807668.0203094715
2023-06-02 03:30:00,807330.3518437663,807642.9742076909
2023-06-05 23:30:00,807547.6608849884,807626.2225104542
2023-06-08 11:30:00,807606.1906149389,807625.1096273703
2023-06-09 07:30:00,807931.4071493065,807640.276676429
2023-06-10 23:30:00,807781.566273215,807647.7129709966
2023-06-11 07:30:00,807408.0321988475,807630.7068636017
2023-06-14 07:30:00,807667.5871412572,807625.1200824878
2023-06-23 07:30:00,807831.675899503,807586.6345121871
2023-06-23 19:30:00,807544.7066689484,807583.1405252506
2023-06-24 07:30:00,807483.7882310839,807575.4980410839
2023-06-25 07:30:00,807617.3124298915,807592.1076703374
2023-06-26 11:30:00,807629.9215133579,807594.8086591245
2023-06-27 03:30:00,807576.4081097911,807601.3876819033
2023-07-02 23:30:00,807324.6923349156,807611.6114961572
2023-07-03 03:30:00,807646.4523931912,807614.1001316597
2023-07-03 23:30:00,807566.7365307123,807610.9425582631
2023-07-04 11:30:00,807755.6402647168,807619.9861649165
2023-07-05 03:30:00,807521.6164511491,807614.1997111654
2023-07-05 15:30:00,807636.379921485,807615.4319450721
2023-07-06 15:30:00,807771.8872711494,807627.8889665256
2023-07-07 11:30:00,807758.5632596654,807634.7665609013
2023-07-09 15:30:00,807491.7737506775,807611.9300357532
2023-07-09 23:30:00,807547.937462851,807608.5620056004
2023-07-11 15:30:00,807788.8843907,807620.1091125025
2023-07-12 11:30:00,807581.361348341,807618.069756494
2023-07-12 15:30:00,807728.2704070215,807623.5797890204
2023-07-13 07:30:00,807995.4947873966,807641.2900270383
2023-07-14 15:30:00,807732.4446258917,807644.3784786876
2023-07-17 03:30:00,808066.4398364148,807663.5630858571
2023-07-17 15:30:00,807628.2324539853,807662.0269714278
2023-07-18 19:30:00,807551.657688768,807657.4282513169
2023-07-21 07:30:00,807571.9869049933,807654.010597464
2023-07-21 11:30:00,807818.7919436607,807660.3483415486
2023-07-21 15:30:00,807626.6178043899,807659.0990623945
2023-07-24 15:30:00,807757.0378043907,807667.7016675803
2023-07-26 07:30:00,807718.8807553973,807671.7644006007
2023-07-26 15:30:00,807399.3691439906,807662.5423058257
2023-07-27 23:30:00,807167.6370488458,807646.1914633879
2023-07-28 15:30:00,807648.183606898,807646.2680842922
2023-07-31 19:30:00,807700.6810180428,807648.2833781348
2023-08-03 07:30:00,807812.3848896415,807671.1261936185
2023-08-03 15:30:00,807831.289288542,807674.1521545716
2023-08-04 03:30:00,807731.1973046846,807682.535388713
2023-08-04 07:30:00,807713.7270003348,807683.735066083
2023-08-04 11:30:00,807694.2751480533,807684.1254394894
2023-08-04 19:30:00,807775.078196275,807689.2624126298
2023-08-04 23:30:00,807798.9680359873,807693.1804706069
2023-08-05 03:30:00,807762.5748385799,807695.5733798472
2023-08-05 15:30:00,807893.6831083708,807699.7732363031
2023-08-05 23:30:00,807677.7824424542,807699.0402098414
2023-08-06 07:30:00,807597.8056913745,807695.7745802136
2023-08-06 19:30:00,807714.2300253202,807694.3444758798
2023-08-06 23:30:00,807529.1114067868,807689.1809424707
2023-08-07 03:30:00,807860.734942274,807694.3795485253
2023-08-07 11:30:00,807705.1278477961,807694.6956749745
2023-08-07 19:30:00,807670.6719732257,807694.009283496
2023-08-07 23:30:00,807567.5768015201,807690.4972701077
2023-08-08 03:30:00,807763.9108789408,807692.4814216978
2023-08-08 11:30:00,807464.6366063218,807686.4855055036
2023-08-08 15:30:00,807687.6320279097,807691.6396706939
2023-08-08 23:30:00,807804.1779611022,807698.3828417006
2023-08-09 07:30:00,807790.4942580732,807700.7446728896
2023-08-09 11:30:00,807881.9914356552,807705.2758419588
2023-08-09 15:30:00,807838.8215508423,807708.5330543705
2023-08-09 19:30:00,807766.0285429911,807709.9019945759
2023-08-09 23:30:00,807926.7351772632,807714.9446267314
2023-08-10 03:30:00,807632.8287487542,807713.0783567772
2023-08-10 07:30:00,807941.8922912217,807718.1631108761
2023-08-10 15:30:00,807752.7144618385,807717.3593346793
2023-08-10 19:30:00,807810.5169551527,807719.3845003417
2023-08-10 23:30:00,807727.3708940267,807719.5544236115
2023-08-11 07:30:00,807933.1478066099,807724.0042857574
2023-08-11 15:30:00,808029.4217962981,807733.4467182402
2023-08-11 23:30:00,807814.0496348632,807735.1259456697
2023-08-12 07:30:00,807802.7641459263,807731.1107239724
2023-08-12 19:30:00,807699.7234560181,807730.4701674836
2023-08-12 23:30:00,807853.4272509903,807732.9293091537
2023-08-13 03:30:00,807991.4569844508,807737.9984792576
2023-08-13 07:30:00,807837.4295191265,807739.9106146396
2023-08-13 11:30:00,807834.0835242132,807741.6874619903
2023-08-13 15:30:00,807676.8725624658,807740.6389324915
2023-08-13 19:30:00,807675.0713330699,807739.4247176875
2023-08-15 07:30:00,807581.5013432143,807736.5533836061
2023-08-15 15:30:00,807577.3712775814,807733.7108459985
2023-08-15 19:30:00,807803.5837833933,807734.9366870055
2023-08-15 23:30:00,807584.2502541185,807732.3386450591
2023-08-16 11:30:00,807403.5367393886,807720.9092813174
2023-08-16 15:30:00,807561.3659530404,807719.7564106113
2023-08-16 19:30:00,807645.3436249131,807718.4951769555
2023-08-17 03:30:00,807744.5494256208,807718.9294144332
2023-08-17 07:30:00,807731.1666406543,807719.1300246991
2023-08-17 19:30:00,807563.0710433812,807719.3171288732
2023-08-17 23:30:00,807577.4112751404,807717.0283247806
