Record Time,Distance (cm),Moving Average (cm)
2022-08-31 15:30:00,326045.6115786549,326045.6115786549
2022-08-31 19:30:00,326045.38910296635,326045.5003408107
2022-08-31 23:30:00,326045.6115786549,326045.5374200921
2022-09-01 03:30:00,326046.7981156605,326045.85259398416
2022-09-01 07:30:00,326041.3845405726,326044.9589833018
2022-09-04 03:30:00,325986.51463276113,326035.21825821174
2022-09-04 15:30:00,326022.03937087284,326033.33556002047
2022-09-05 15:30:00,326019.5090966084,326031.60725209396
2022-09-05 23:30:00,325998.9056956217,326027.97374581924
2022-09-07 11:30:00,325998.0501452211,326024.9813857595
2022-09-07 15:30:00,326035.0600846779,326025.8976311157
2022-09-09 11:30:00,326023.5378599481,326025.7009835184
2022-09-09 19:30:00,326020.62305106997,326025.31037333
2022-09-11 03:30:00,326034.98121019045,326026.0011473915
2022-09-11 11:30:00,326002.9871156077,326024.4668786059
2022-09-13 03:30:00,326023.9340029843,326024.43357387953
2022-09-13 07:30:00,326031.12331201095,326024.8270878873
2022-09-13 11:30:00,326033.7800260122,326025.32447333867
2022-09-13 15:30:00,326019.22653809946,326025.00352937874
2022-09-14 11:30:00,326031.04625084065,326025.30566545186
2022-09-15 07:30:00,326035.5188933984,326025.7920096398
2022-09-15 19:30:00,326040.2673540294,326026.44997983926
2022-09-17 15:30:00,326032.6320021057,326026.7187634161
2022-09-17 23:30:00,326039.54841646866,326027.25333229324
2022-09-20 19:30:00,326038.3090660401,326027.6955616431
2022-09-22 19:30:00,326020.8935274861,326027.4339449448
2022-09-23 07:30:00,326000.1964877507,326026.4251502339
2022-09-23 15:30:00,326019.6811093159,326026.18429162964
2022-09-23 23:30:00,326029.0181577514,326026.28201115114
2022-09-24 07:30:00,326011.3561339479,326025.78448191105
2022-09-24 11:30:00,326007.1980442907,326025.1849194071
2022-09-25 03:30:00,326026.46454162407,326025.2249076014
2022-09-25 15:30:00,326025.2850126285,326025.2267289658
2022-09-28 03:30:00,326026.00291822955,326025.2495580618
2022-09-30 11:30:00,326021.1141381019,326025.1314032059
2022-10-03 07:30:00,326011.7727828684,326021.5024831795
2022-10-03 15:30:00,326023.6046977118,326021.5681773836
2022-10-06 07:30:00,325985.82724596385,326022.380694013
2022-10-07 11:30:00,326026.3415343944,326023.35625915683
2022-10-07 23:30:00,326030.0410847473,326023.18319019367
2022-10-12 11:30:00,326025.5692718535,326023.68279040983
2022-10-12 15:30:00,326030.2219767415,326023.9249824962
2022-10-12 19:30:00,326025.407941899,326023.977945332
2022-10-13 15:30:00,326024.7300811695,326023.52194685437
2022-10-14 07:30:00,326026.9603058533,326023.65419143124
2022-10-16 07:30:00,326012.85002735903,326021.7094377626
2022-10-16 19:30:00,326012.05275087565,326021.3231702871
2022-10-19 11:30:00,326016.4587159817,326019.88989810774
2022-10-19 15:30:00,326037.41014325526,326020.5907079137
2022-10-20 11:30:00,326022.9396087346,326020.6810502529
2022-10-20 23:30:00,326031.6129558211,326020.4235075522
2022-10-21 07:30:00,326027.62910599925,326020.6903815688
2022-10-21 11:30:00,326017.19791147095,326020.56565049384
2022-10-22 19:30:00,326025.1570554029,326020.7179193479
2022-10-24 15:30:00,326031.00818076625,326022.65249956056
2022-10-25 03:30:00,326035.1649478181,326023.01501648524
2022-10-25 23:30:00,326010.0994036824,326022.38228277926
2022-10-27 15:30:00,326039.8536672877,326023.08113815956
2022-10-28 15:30:00,326017.1274791975,326022.72612059826
2022-10-29 19:30:00,326022.3458663112,326022.71149543335
2022-10-30 23:30:00,326033.1397177345,326023.1740177269
2022-10-31 07:30:00,326009.5287066731,326022.6686358361
2022-11-01 11:30:00,326021.060080176,326022.6111874196
2022-11-02 19:30:00,326033.02830044844,326023.361632134
2022-11-03 15:30:00,326024.57799272094,326023.40507358353
2022-11-06 03:30:00,326012.86945755,326024.3708668545
2022-11-06 15:30:00,325991.00411855563,326023.10881628876
2022-11-07 07:30:00,326029.6510235104,326023.09488553036
2022-11-07 19:30:00,326028.2668778266,326023.2732300923
2022-11-08 03:30:00,326032.3415226069,326023.57550650946
2022-11-08 07:30:00,326022.7908982265,326023.5501965648
2022-11-09 19:30:00,326017.53603100654,326023.36225389113
2022-11-10 07:30:00,326028.01304484636,326023.5031869504
2022-11-11 07:30:00,326022.82926299324,326023.4833656575
2022-11-12 07:30:00,326023.008969952,326023.13263161917
2022-11-13 03:30:00,326023.7851192509,326023.1031015592
2022-11-13 15:30:00,326033.4540804564,326023.30603201553
2022-11-15 19:30:00,326010.1474838786,326023.5818622627
2022-11-16 03:30:00,326011.7280887961,326023.21143184183
2022-11-16 11:30:00,326028.3840006331,326023.36817635066
2022-11-17 19:30:00,326029.25362826616,326023.5412778776
2022-11-18 19:30:00,326028.18483590137,326023.476346197
2022-11-19 15:30:00,326035.79337474145,326023.86585425783
2022-11-20 03:30:00,326033.7107803199,326023.9294246972
2022-11-20 23:30:00,326023.6213345142,326024.0145416266
2022-11-23 23:30:00,326036.5744828249,326024.1572444744
2022-11-24 15:30:00,326035.511200411,326024.16841391294
2022-11-24 23:30:00,326008.3864878255,326024.1131585627
2022-11-25 03:30:00,326028.04533237434,326024.2360389943
2022-11-25 07:30:00,326025.1774745244,326024.2645673437
2022-11-25 23:30:00,325995.059759606,326023.40560241026
2022-11-26 03:30:00,326005.33659921493,326022.8893451761
2022-11-26 07:30:00,326020.00189272634,326022.8091381636
2022-11-26 11:30:00,326022.1265975197,326022.7906911192
2022-11-26 23:30:00,326014.3062632685,326022.10022074025
2022-11-27 03:30:00,326023.76205234916,326022.14395315107
2022-11-27 07:30:00,326026.97183223895,326022.2677449225
2022-11-27 15:30:00,325999.6576579063,326021.8198007868
2022-11-28 03:30:00,325996.93282548204,326021.19762640423
2022-11-28 07:30:00,326008.5083330859,326020.8881314452
2022-11-28 23:30:00,326022.7600341457,326020.8982330997
2022-11-29 03:30:00,326021.9809221932,326020.9240114115
2022-11-29 07:30:00,326010.120217192,326020.67276038317
2022-11-29 11:30:00,326023.4582272276,326020.73606644775
2022-11-29 15:30:00,326027.6188485285,326020.88901716063
2022-11-29 19:30:00,326031.82183917146,326021.1266872044
2022-11-30 03:30:00,325997.9277554834,326020.3612097641
2022-11-30 07:30:00,326023.3937943335,326020.6626247133
2022-11-30 11:30:00,326013.00082500605,326020.4996076983
2022-11-30 19:30:00,326002.9841113431,326020.1347015242
2022-12-01 03:30:00,326022.69546034513,326020.1869619083
2022-12-01 07:30:00,326011.92955104803,326020.02181369107
2022-12-01 15:30:00,326019.0608736986,326019.9818295615
2022-12-02 07:30:00,326017.651649191,326019.9361397503
2022-12-02 15:30:00,326025.816972294,326020.04923268384
2022-12-02 19:30:00,326033.8646940776,326020.06531717675
2022-12-03 07:30:00,326021.71246937074,326020.09639552
2022-12-03 15:30:00,326018.17810862925,326019.97564299003
2022-12-04 03:30:00,326025.214557279,326020.07265992125
2022-12-04 11:30:00,326021.32699344243,326020.0954659853
2022-12-04 15:30:00,326015.7931958002,326020.01863973204
2022-12-04 19:30:00,326025.21999616193,326020.10989159916
2022-12-04 23:30:00,325995.18684540165,326019.6801839061
2022-12-05 03:30:00,326023.8283211978,326019.7504913178
2022-12-05 07:30:00,326010.48754731193,326019.5961089178
2022-12-05 11:30:00,326031.00426791527,326019.78312791773
2022-12-05 15:30:00,326034.2060314595,326020.0157553942
2022-12-05 19:30:00,326027.0427793963,326020.1272954577
2022-12-06 03:30:00,326025.6043983492,326020.3294373752
2022-12-06 07:30:00,326030.46537529613,326020.48781140515
2022-12-06 11:30:00,326019.48441984225,326020.4723746119
2022-12-06 15:30:00,326019.74488122197,326020.9145401913
2022-12-06 19:30:00,326028.0159079477,326021.0221366725
2022-12-07 03:30:00,326024.2998506054,326021.07105777593
2022-12-07 07:30:00,326017.97976412205,326020.8968598747
2022-12-07 11:30:00,326017.87015825656,326020.8523495568
2022-12-07 23:30:00,326019.85991734336,326020.728717785
2022-12-08 03:30:00,326014.1258253409,326020.460839884
2022-12-08 11:30:00,326027.9611572444,326020.5368731048
2022-12-08 15:30:00,326017.6400406502,326020.4948900258
2022-12-08 19:30:00,326021.9038900783,326020.51501859794
2022-12-08 23:30:00,326019.48417725245,326020.5004997058
2022-12-09 03:30:00,326016.374275941,326020.44319104234
2022-12-09 07:30:00,326026.87505030853,326020.5312987036
2022-12-09 15:30:00,326025.07991200325,326020.59276645083
2022-12-09 19:30:00,326019.03884311666,326020.6130747226
2022-12-10 03:30:00,326027.79000577686,326020.7087671367
2022-12-10 07:30:00,326015.11458328145,326020.5367876491
2022-12-10 11:30:00,326008.86568474385,326020.3832205056
2022-12-10 15:30:00,326021.9776107371,326020.40392687224
2022-12-10 19:30:00,326016.42624601733,326020.35293096385
2022-12-10 23:30:00,326025.659312805,326020.4201003543
2022-12-11 07:30:00,326037.29939791915,326020.60326661915
2022-12-11 15:30:00,326010.6176735161,326020.4784467053
2022-12-11 23:30:00,326003.83213241753,326020.2729366524
2022-12-12 03:30:00,326012.0543142021,326020.17270954937
2022-12-12 11:30:00,326018.3998846781,326020.11650119245
2022-12-12 15:30:00,326018.6442968705,326020.0987637909
2022-12-12 23:30:00,326005.4634029767,326019.9245333051
2022-12-13 03:30:00,326011.4432234992,326019.7776059746
2022-12-13 07:30:00,326024.33123408834,326019.8311780701
2022-12-13 19:30:00,325997.1879182404,326019.40451733815
2022-12-13 23:30:00,326023.7303913402,326019.45481819863
2022-12-14 03:30:00,326018.34812751017,326019.442097616
2022-12-14 07:30:00,326018.98019943066,326019.43684877304
2022-12-14 11:30:00,326029.958500275,326019.5550695764
2022-12-14 15:30:00,326028.1009470333,326019.6500237704
2022-12-14 19:30:00,326016.5522554013,326019.6159823597
2022-12-14 23:30:00,326015.24454666616,326019.5684667543
2022-12-15 07:30:00,326018.3846832171,326019.5557378991
2022-12-15 11:30:00,326017.7260928594,326019.53627359023
2022-12-15 15:30:00,326021.60671851423,326019.5580677473
2022-12-15 19:30:00,326013.2069789259,326019.5902729583
2022-12-15 23:30:00,325993.589810311,326019.3194348057
2022-12-16 03:30:00,326018.0819304495,326019.38562065625
2022-12-16 15:30:00,326030.1739131239,326019.4042655781
