Record Time,Distance (cm),Moving Average (cm)
2022-08-31 15:30:00,326042.90166816156,326042.90166816156
2022-08-31 19:30:00,326042.67378152773,326042.78772484465
2022-08-31 23:30:00,326042.8981424392,326042.8245307095
2022-09-01 03:30:00,326044.0786505209,326043.1380606623
2022-09-01 07:30:00,326038.66009220976,326042.24246697186
2022-09-04 03:30:00,325983.81748918863,326032.50497067464
2022-09-04 15:30:00,326019.3401015131,326030.6242750801
2022-09-05 15:30:00,326016.8149737345,326028.8981124119
2022-09-05 23:30:00,325996.1979254519,326025.2647583053
2022-09-07 11:30:00,325995.3529745893,326022.2735799336
2022-09-07 15:30:00,326032.3558446746,326023.19014945556
2022-09-09 11:30:00,326020.84233917546,326022.9944985989
2022-09-09 19:30:00,326017.93073359306,326022.6049782138
2022-09-11 03:30:00,326032.2786622736,326023.29595564667
2022-09-11 11:30:00,326000.28112942795,326021.7616338988
2022-09-13 03:30:00,326021.2361948765,326021.72879395983
2022-09-13 07:30:00,326028.4362334602,326022.1233492246
2022-09-13 11:30:00,326031.0768512591,326022.6207660043
2022-09-13 15:30:00,326016.52136751293,326022.29974503105
2022-09-14 11:30:00,326028.3536486261,326022.6024402108
2022-09-15 07:30:00,326032.8267557913,326023.0893123813
2022-09-15 19:30:00,326037.5730673677,326023.7476648807
2022-09-17 15:30:00,326029.92846647167,326024.0163953846
2022-09-17 23:30:00,326036.8442457109,326024.5508891482
2022-09-20 19:30:00,326035.6155122507,326024.9934740723
2022-09-22 19:30:00,326018.1998001316,326024.73217892076
2022-09-23 07:30:00,325997.4967135544,326023.72345798125
2022-09-23 15:30:00,326016.9911070497,326023.48301687656
2022-09-23 23:30:00,326026.3266656057,326023.5810737293
2022-09-24 07:30:00,326008.6658632199,326023.08390004566
2022-09-24 11:30:00,326004.5121684712,326022.48481193034
2022-09-25 03:30:00,326023.7640641511,326022.52478856227
2022-09-25 15:30:00,326022.597114691,326022.5269802631
2022-09-28 03:30:00,326023.31559293286,326022.5501747534
2022-09-30 11:30:00,326018.4099498028,326022.431882612
2022-10-03 07:30:00,326009.07183223806,326018.8056577032
2022-10-03 15:30:00,326020.9132462609,326018.8715198456
2022-10-06 07:30:00,325983.13003838254,326019.68442012253
2022-10-07 11:30:00,326023.6534539897,326020.6602987225
2022-10-07 23:30:00,326027.35050155467,326020.4877006839
2022-10-12 11:30:00,326022.88835910225,326020.98841594096
2022-10-12 15:30:00,326027.5496085183,326021.2314230735
2022-10-12 19:30:00,326022.7236691591,326021.2847175765
2022-10-13 15:30:00,326022.05101565475,326020.8300984276
2022-10-14 07:30:00,326024.289219976,326020.96314156405
2022-10-16 07:30:00,326010.16509003437,326019.01888745476
2022-10-16 19:30:00,326009.3657466932,326018.6327618243
2022-10-19 11:30:00,326013.77402755234,326017.20084837405
2022-10-19 15:30:00,326034.71641199733,326017.90147091897
2022-10-20 11:30:00,326020.25972569356,326017.9921730257
2022-10-20 23:30:00,326028.93201064866,326017.73511527176
2022-10-21 07:30:00,326024.945553382,326018.0021685351
2022-10-21 11:30:00,326014.50920642127,326017.87741988816
2022-10-22 19:30:00,326022.4635331947,326018.029696069
2022-10-24 15:30:00,326028.30822832225,326019.9644666814
2022-10-25 03:30:00,326032.47643119213,326020.3274819748
2022-10-25 23:30:00,326007.4141177621,326019.69485710276
2022-10-27 15:30:00,326037.1633172125,326020.39359550714
2022-10-28 15:30:00,326014.43966631644,326020.0385584425
2022-10-29 19:30:00,326019.65843405045,326020.0239382736
2022-10-30 23:30:00,326030.4433696976,326020.4867621157
2022-10-31 07:30:00,326006.8357811839,326019.98117022926
2022-11-01 11:30:00,326018.3641062989,326019.92341794603
2022-11-02 19:30:00,326030.3347098592,326020.6742716241
2022-11-03 15:30:00,326021.8838149602,326020.7174696004
2022-11-06 03:30:00,326010.17406677926,326021.6833277574
2022-11-06 15:30:00,325988.3183298049,326020.4213590365
2022-11-07 07:30:00,326026.9656833743,326020.40761553
2022-11-07 19:30:00,326025.58194548386,326020.5860407009
2022-11-08 03:30:00,326029.65459023986,326020.8883256855
2022-11-08 07:30:00,326020.1080891942,326020.8631567664
2022-11-09 19:30:00,326014.84440764977,326020.6750708565
2022-11-10 07:30:00,326025.32466175297,326020.8159675504
2022-11-11 07:30:00,326020.1359256969,326020.7959663194
2022-11-12 07:30:00,326020.32283695444,326020.44450171984
2022-11-13 03:30:00,326021.1021120272,326020.4148484815
2022-11-13 15:30:00,326030.7710732327,326020.61740639573
2022-11-15 19:30:00,326007.4639151133,326020.8932284855
2022-11-16 03:30:00,326009.0369186756,326020.5227188039
2022-11-16 11:30:00,326025.69316706626,326020.67939905426
2022-11-17 19:30:00,326026.554889643,326020.85220760095
2022-11-18 19:30:00,326025.4999713049,326020.7874118239
2022-11-19 15:30:00,326033.1065587208,326021.17670979444
2022-11-20 03:30:00,326031.0188297315,326021.2399467364
2022-11-20 23:30:00,326020.92742750887,326021.32471593766
2022-11-23 23:30:00,326033.88395979616,326021.4678422027
2022-11-24 15:30:00,326032.8185228647,326021.478877418
2022-11-24 23:30:00,326005.70106695377,326021.4236177145
2022-11-25 03:30:00,326025.36115223373,326021.5466656682
2022-11-25 07:30:00,326022.50202998775,326021.5756161021
2022-11-25 23:30:00,325992.38532689534,326020.71707818424
2022-11-26 03:30:00,326002.6409868248,326020.20061843115
2022-11-26 07:30:00,326017.31685907877,326020.1205140047
2022-11-26 11:30:00,326019.43798958615,326020.1020673988
2022-11-26 23:30:00,326011.6209029683,326019.41173187864
2022-11-27 03:30:00,326021.0785129489,326019.4555945384
2022-11-27 07:30:00,326024.2873159413,326019.5794848308
2022-11-27 15:30:00,325996.9758460538,326019.1316945677
2022-11-28 03:30:00,325994.24536283046,326018.5095362742
2022-11-28 07:30:00,326005.82395511743,326018.2001318558
2022-11-28 23:30:00,326020.07005535293,326018.21017139975
2022-11-29 03:30:00,326019.29119579255,326018.2359100758
2022-11-29 07:30:00,326007.43384148076,326017.9846991782
2022-11-29 11:30:00,326020.77263412654,326018.0480613361
2022-11-29 15:30:00,326024.91501485556,326018.2006603032
2022-11-29 19:30:00,326029.12871233706,326018.43822665175
2022-11-30 03:30:00,325995.2341639498,326017.6728091355
2022-11-30 07:30:00,326020.70306449645,326017.97427181626
2022-11-30 11:30:00,326010.3161351719,326017.8113327387
2022-11-30 19:30:00,326000.29393614957,326017.44638697646
2022-12-01 03:30:00,326020.00240803964,326017.4985506716
2022-12-01 07:30:00,326009.2352268148,326017.33328419446
2022-12-01 15:30:00,326016.3710539425,326017.2934231473
2022-12-02 07:30:00,326014.96441135934,326017.2477562495
2022-12-02 15:30:00,326023.1337767422,326017.3609489513
2022-12-02 19:30:00,326031.1705712677,326017.3770232091
2022-12-03 07:30:00,326019.02272506064,326017.4080741874
2022-12-03 15:30:00,326015.4880394755,326017.2873991783
2022-12-04 03:30:00,326022.5311128944,326017.3845049879
2022-12-04 11:30:00,326018.6405161944,326017.4073415552
2022-12-04 15:30:00,326013.0959763187,326017.3303528903
2022-12-04 19:30:00,326022.5355034158,326017.4216713206
2022-12-04 23:30:00,325992.5063266462,326016.9920964124
2022-12-05 03:30:00,326021.13921793667,326017.0623866077
2022-12-05 07:30:00,326007.80076735537,326016.9080262868
2022-12-05 11:30:00,326028.3160433297,326017.0950429597
