Record Time,Distance (cm),Moving Average (cm)
2022-09-01 19:30:00,164219.65335400627,164219.65335400627
2022-09-01 23:30:00,164212.97508281012,164216.3142184082
2022-09-02 03:30:00,164218.46610579366,164217.03151420335
2022-09-02 11:30:00,164219.05972989998,164217.53856812752
2022-09-02 15:30:00,164214.76229849312,164216.98331420062
2022-09-02 19:30:00,164208.08732194026,164215.50064882392
2022-09-02 23:30:00,164202.95691203533,164213.70868642553
2022-09-03 07:30:00,164209.53423983717,164213.18688060198
2022-09-03 11:30:00,164210.1396565216,164212.84830014862
2022-09-03 19:30:00,164211.72629282778,164212.73609941654
2022-09-03 23:30:00,164213.28651634188,164212.78613731882
2022-09-04 07:30:00,164211.01425326025,164212.63848031394
2022-09-04 15:30:00,164215.4834485212,164212.85732402222
2022-09-04 19:30:00,164210.60431368084,164212.6963947121
2022-09-04 23:30:00,164199.14479043233,164211.79295442678
2022-09-05 03:30:00,164209.9079094521,164211.67513911586
2022-09-05 07:30:00,164211.15030724427,164211.64426665285
2022-09-05 11:30:00,164214.09215246694,164211.78026030917
2022-09-05 19:30:00,164207.77846950255,164211.5696397404
2022-09-05 23:30:00,164207.82226915934,164211.38227121136
2022-09-06 03:30:00,164212.0941010712,164211.41616787136
2022-09-06 07:30:00,164205.8565148073,164211.16345636843
2022-09-06 11:30:00,164208.35750694262,164211.0414585673
2022-09-06 15:30:00,164210.85145417208,164211.03354171754
2022-09-06 19:30:00,164206.99590611752,164210.8720362935
2022-09-06 23:30:00,164198.74018973703,164210.40542681055
2022-09-07 03:30:00,164205.35521336534,164210.21838186815
2022-09-07 07:30:00,164202.47330337708,164209.94177192202
2022-09-07 11:30:00,164211.25308984768,164209.98698978152
2022-09-07 19:30:00,164205.50526230785,164209.83759886576
2022-09-07 23:30:00,164204.4525171007,164209.66388655076
2022-09-08 03:30:00,164203.12729643934,164209.45961810977
2022-09-08 07:30:00,164210.72530336952,164209.49797220854
2022-09-08 11:30:00,164213.00724850947,164209.6011862174
2022-09-08 15:30:00,164213.11153496435,164209.70148189587
2022-09-08 19:30:00,164211.0134123586,164209.73792440875
2022-09-08 23:30:00,164210.72916976595,164209.7647148238
2022-09-09 03:30:00,164210.50681816024,164209.78424385897
