Record Time,Distance (cm),Moving Average (cm)
2022-09-01 19:30:00,176574.20033949858,176574.20033949858
2022-09-01 23:30:00,176571.5143000249,176572.85731976174
2022-09-02 07:30:00,176567.30230394646,176571.0056478233
2022-09-02 11:30:00,176568.78674202962,176570.4509213749
2022-09-02 15:30:00,176569.41170639553,176570.24307837902
2022-09-02 19:30:00,176566.55078737848,176569.6276965456
2022-09-02 23:30:00,176567.56815235468,176569.33347594689
2022-09-03 03:30:00,176568.7636434174,176569.2622468807
2022-09-03 07:30:00,176551.6153634208,176567.30148205181
2022-09-03 11:30:00,176561.08177670994,176566.67951151764
2022-09-03 15:30:00,176564.4921321094,176566.48065884414
2022-09-03 19:30:00,176566.81295183356,176566.5083499266
2022-09-03 23:30:00,176564.14778935557,176566.32676834424
2022-09-04 07:30:00,176563.9200182105,176566.1548576204
2022-09-04 11:30:00,176570.81842784592,176566.4657623021
2022-09-04 19:30:00,176559.4324191497,176566.02617835507
2022-09-04 23:30:00,176572.90137366622,176566.43060160868
2022-09-05 03:30:00,176561.55099736617,176566.1595124841
2022-09-05 07:30:00,176566.33306202252,176566.16864667032
2022-09-05 11:30:00,176563.64012795346,176566.04222073447
2022-09-05 19:30:00,176557.59379980573,176565.63991497597
2022-09-06 03:30:00,176555.0457337884,176565.1583612856
2022-09-06 07:30:00,176554.6176782445,176564.7000707186
2022-09-06 11:30:00,176559.43675199756,176564.4807657719
2022-09-06 15:30:00,176561.79439366714,176564.3733108877
2022-09-06 19:30:00,176559.36222829987,176564.18057694205
2022-09-06 23:30:00,176565.07398265347,176564.21366604246
2022-09-07 03:30:00,176566.20487245973,176564.28478055733
2022-09-07 07:30:00,176560.603203691,176564.15782963092
2022-09-07 19:30:00,176565.56899615462,176564.20486851505
2022-09-07 23:30:00,176563.56015902807,176564.1840714348
2022-09-08 03:30:00,176555.16579260194,176563.9022502213
2022-09-08 07:30:00,176552.27164605501,176563.54980767082
2022-09-08 11:30:00,176558.24274997794,176563.39371773865
2022-09-08 15:30:00,176563.21555551107,176563.3886273893
2022-09-08 19:30:00,176558.19258283975,176563.24429281848
2022-09-08 23:30:00,176572.8922787519,176563.50504919505
2022-09-09 03:30:00,176568.91003928645,176563.64728577642
2022-09-09 07:30:00,176571.38273387542,176563.84563059948
2022-09-09 15:30:00,176564.84882969718,176563.8707105769
2022-09-09 23:30:00,176571.2039963221,176564.04957120484
2022-09-10 03:30:00,176577.30855500433,176564.3652612953
2022-09-10 07:30:00,176559.9474209011,176564.262520821
2022-09-10 11:30:00,176545.9075068717,176563.84536141308
2022-09-10 15:30:00,176561.01679278273,176563.7825043324
2022-09-10 19:30:00,176564.30728928218,176563.79391270087
2022-09-10 23:30:00,176561.81543538105,176563.75181743875
2022-09-11 07:30:00,176566.5202957585,176563.8094940704
2022-09-11 15:30:00,176562.58132366656,176563.78442936827
2022-09-11 19:30:00,176569.95759958145,176563.90789277255
2022-09-11 23:30:00,176564.46113971912,176563.91874075192
2022-09-12 03:30:00,176568.67942222377,176564.01029231868
2022-09-12 07:30:00,176569.55842596103,176564.11497408553
2022-09-12 11:30:00,176573.1405686913,176564.28211472635
2022-09-12 15:30:00,176573.33415228367,176564.4466972274
2022-09-12 19:30:00,176573.19895766053,176564.60298759228
2022-09-12 23:30:00,176564.0208941845,176564.59277542724
2022-09-13 19:30:00,176564.7374802777,176564.59527033844
2022-09-13 23:30:00,176569.49270810626,176564.6782777582
2022-09-14 03:30:00,176566.69959908247,176564.71196644698
2022-09-14 07:30:00,176556.03927920188,176564.56979124623
2022-09-14 15:30:00,176559.89952337494,176564.4944643451
2022-09-14 19:30:00,176570.84690935572,176564.59529680558
2022-09-14 23:30:00,176561.93597589404,176564.55374491634
2022-09-15 03:30:00,176557.86428778988,176564.45083019132
2022-09-15 11:30:00,176566.47775223994,176564.48154113142
2022-09-15 15:30:00,176564.45316899722,176564.48111766673
2022-09-15 23:30:00,176566.1053605476,176564.50500359145
2022-09-16 03:30:00,176564.16087963278,176564.50001628773
2022-09-16 07:30:00,176558.1536181417,176564.40935345704
2022-09-16 11:30:00,176565.8455347556,176564.42958136267
2022-09-16 15:30:00,176566.39148968554,176564.45683008936
2022-09-16 19:30:00,176570.42127262361,176564.53853478163
2022-09-16 23:30:00,176567.59044355617,176564.5797767921
2022-09-17 03:30:00,176565.18727946773,176564.58787682778
2022-09-17 07:30:00,176556.4095821697,176564.48026768753
2022-09-17 11:30:00,176567.82333207238,176564.52368410814
2022-09-17 19:30:00,176579.89265094246,176564.72072214444
2022-09-18 03:30:00,176560.35113939544,176564.66541097043
2022-09-18 07:30:00,176548.18333560476,176564.45938502834
2022-09-18 11:30:00,176567.56108435252,176564.49767761258
2022-09-18 15:30:00,176565.6443992916,176564.5116620233
2022-09-18 19:30:00,176581.2631318234,176564.71348696065
2022-09-18 23:30:00,176570.42598845327,176564.7814929308
2022-09-19 03:30:00,176562.73530353306,176564.75742011436
2022-09-19 07:30:00,176558.2148156031,176564.68134331773
