Record Time,Distance (cm),Moving Average (cm)
2022-08-31 16:30:00,326040.5285941505,326040.5285941505
2022-08-31 20:30:00,326042.97041577916,326041.7495049648
2022-09-01 00:30:00,326044.3813136962,326042.626774542
2022-09-01 04:30:00,326039.0358682472,326041.7290479683
2022-09-01 08:30:00,326032.72740718187,326039.928719811
2022-09-01 16:30:00,326038.7983584234,326039.7403262464
2022-09-01 20:30:00,326030.96078845585,326038.486106562
2022-09-02 00:30:00,326018.81596087286,326036.0273383509
2022-09-02 04:30:00,326019.53468993923,326034.1948218607
2022-09-02 08:30:00,326025.52197282,326033.32753695664
2022-09-02 12:30:00,326026.2380908177,326032.6830418531
2022-09-02 16:30:00,326029.59212223504,326032.42546521826
2022-09-02 20:30:00,326009.5273974773,326030.664075392
2022-09-03 00:30:00,326007.27601473813,326028.99349963106
2022-09-03 04:30:00,326016.6881898918,326028.1731456484
2022-09-03 08:30:00,326006.43302603066,326026.8143881723
2022-09-03 12:30:00,326009.48809077847,326025.795194208
2022-09-03 16:30:00,326020.7851948795,326025.5168609119
2022-09-03 20:30:00,326033.85628946754,326025.95577820437
2022-09-04 00:30:00,326010.15849392983,326025.1659139906
2022-09-04 04:30:00,325985.8159737309,326023.29210731154
2022-09-04 08:30:00,326021.0543847619,326023.19039265026
2022-09-04 12:30:00,326016.142178753,326022.88394856773
2022-09-04 16:30:00,326018.16796846775,326022.6874493969
2022-09-04 20:30:00,326017.3958864419,326022.47578687867
2022-09-05 00:30:00,326020.5141921637,326022.4003409281
2022-09-05 04:30:00,326023.627159631,326022.44577865786
2022-09-05 08:30:00,326030.73744892154,326022.7419097387
2022-09-05 12:30:00,326022.5801643554,326022.7363323117
2022-09-05 16:30:00,326018.1207057518,326022.58247809304
2022-09-05 20:30:00,326006.1864219328,326022.0535730556
2022-09-06 00:30:00,325987.71916653484,326020.9806228518
2022-09-06 04:30:00,326005.3220600593,326020.50612094905
2022-09-06 08:30:00,326016.45390335424,326020.3869380786
2022-09-06 12:30:00,326014.0430569546,326020.2056843322
2022-09-06 16:30:00,326017.29746692977,326020.1249005154
2022-09-06 20:30:00,326021.3998891824,326020.1593596686
2022-09-07 00:30:00,326009.52525045566,326019.8795146893
2022-09-07 04:30:00,326005.448103703,326019.5094785102
2022-09-07 08:30:00,326002.6393171791,326019.08772447694
2022-09-07 12:30:00,326000.4062147914,326018.63207789924
2022-09-07 16:30:00,326022.96939549106,326018.73534736567
2022-09-07 20:30:00,326026.93093015364,326018.92594231426
2022-09-08 00:30:00,326020.1076769716,326018.9527999201
2022-09-08 04:30:00,326010.98541684955,326018.775746963
2022-09-08 08:30:00,326015.2812763271,326018.69978021004
2022-09-08 12:30:00,326022.6545681435,326018.78392463416
2022-09-08 16:30:00,326002.20573795936,326018.4385457451
2022-09-08 20:30:00,326013.69215024455,326018.3416805308
2022-09-09 00:30:00,326039.09204638534,326018.7566878479
2022-09-09 04:30:00,326027.4214643646,326018.9265854266
2022-09-09 08:30:00,326020.0075800152,326018.9473737841
2022-09-09 12:30:00,326022.63267886534,326019.01690784225
2022-09-09 16:30:00,326011.6937360181,326018.88129354926
2022-09-09 20:30:00,326019.62622827635,326018.894837817
2022-09-10 00:30:00,326031.9358610074,326019.1277132311
2022-09-10 04:30:00,326015.7991770206,326019.069317859
2022-09-10 08:30:00,325991.45314135036,326018.5931768847
2022-09-10 12:30:00,326002.42068953405,326018.31906692963
2022-09-10 16:30:00,326025.11095793627,326018.43226511305
2022-09-10 20:30:00,326025.341341365,326018.54552865814
2022-09-11 00:30:00,326026.0582126407,326018.66670098045
2022-09-11 04:30:00,326028.8524493354,326018.8283795258
2022-09-11 08:30:00,326014.55497119646,326018.76160752063
