Record Time,Distance (cm),Moving Average (cm)
2022-09-01 12:30:00,176570.22924234724,176570.22924234724
2022-09-01 16:30:00,176571.56448081802,176570.89686158262
2022-09-01 20:30:00,176572.52881971363,176571.44084762628
2022-09-02 00:30:00,176568.00384489587,176570.58159694367
2022-09-02 04:30:00,176562.51453118253,176568.96818379144
2022-09-02 08:30:00,176565.40754786925,176568.37474447108
2022-09-02 12:30:00,176566.6040467552,176568.12178765453
2022-09-02 16:30:00,176568.10465589134,176568.11964618415
2022-09-02 20:30:00,176566.5925023093,176567.94996353137
2022-09-03 00:30:00,176567.83288714307,176567.93825589254
2022-09-03 04:30:00,176565.43747391726,176567.71091207664
2022-09-03 08:30:00,176557.99702207567,176566.90142124318
2022-09-03 12:30:00,176562.38359792132,176566.5538963723
2022-09-03 16:30:00,176563.60727082595,176566.34342311896
2022-09-03 20:30:00,176564.94073873397,176566.24991082665
2022-09-04 00:30:00,176559.5666844441,176565.83220917772
2022-09-04 04:30:00,176549.33228964513,176564.8616256758
2022-09-04 08:30:00,176565.4342693338,176564.89343921238
2022-09-04 12:30:00,176565.67020760028,176564.9343217591
2022-09-04 16:30:00,176558.17370470084,176564.5962909062
2022-09-04 20:30:00,176561.49563363096,176564.44864055974
2022-09-05 00:30:00,176568.0619371478,176564.61288131375
2022-09-05 04:30:00,176564.45695887736,176564.60610207738
2022-09-05 08:30:00,176565.7541479361,176564.6539373215
2022-09-05 12:30:00,176559.47184617355,176564.44665367558
2022-09-05 16:30:00,176557.91096359977,176564.19528098035
2022-09-05 20:30:00,176558.46503408943,176563.98304961403
2022-09-06 00:30:00,176559.8890019892,176563.83683362743
2022-09-06 04:30:00,176551.97323167374,176563.4277439049
2022-09-06 08:30:00,176555.74827109306,176563.17176147783
2022-09-06 12:30:00,176556.98983040432,176562.97234434643
2022-09-06 16:30:00,176564.09150416817,176563.00731809085
2022-09-06 20:30:00,176561.65311268557,176562.96628156342
2022-09-07 00:30:00,176567.20736098516,176563.09101919347
2022-09-07 04:30:00,176567.77574449204,176563.2248684877
2022-09-07 08:30:00,176554.66757195833,176562.98716580635
2022-09-07 12:30:00,176547.83959078963,176562.57777188695
2022-09-07 16:30:00,176561.14034481303,176562.53994485873
2022-09-07 20:30:00,176559.5929983041,176562.46438212658
2022-09-08 00:30:00,176559.4930261376,176562.3900982268
2022-09-08 04:30:00,176553.9140392756,176562.18336508167
2022-09-08 08:30:00,176553.06355851647,176561.9662268301
2022-09-08 12:30:00,176558.6465311256,176561.88902460443
2022-09-08 16:30:00,176561.23198655035,176561.87409192137
2022-09-08 20:30:00,176558.1574843587,176561.7915006422
2022-09-09 00:30:00,176572.67191362163,176562.02803135916
2022-09-09 04:30:00,176568.67977711032,176562.16955786452
2022-09-09 08:30:00,176567.03725608048,176562.27096824397
2022-09-09 12:30:00,176561.71437330678,176562.25960916365
2022-09-09 16:30:00,176563.47642497643,176562.2839454799
2022-09-09 20:30:00,176565.04132207215,176562.33801168756
2022-09-10 00:30:00,176570.3740577463,176562.4925510349
2022-09-10 04:30:00,176574.57264267874,176562.7204772923
2022-09-10 08:30:00,176558.15369761188,176562.63590729822
2022-09-10 12:30:00,176551.98707915985,176562.44229224118
2022-09-10 16:30:00,176564.00264782636,176562.47015573375
2022-09-10 20:30:00,176559.74953363143,176562.42242552142
2022-09-11 00:30:00,176565.386273069,176562.4735263412
2022-09-11 04:30:00,176568.4436923505,176562.5747155956
2022-09-11 08:30:00,176564.08478033333,176562.59988334126
2022-09-11 12:30:00,176550.19119600154,176562.39646223732
2022-09-11 16:30:00,176559.5009045502,176562.34975969399
2022-09-11 20:30:00,176562.81093090787,176562.357079872
2022-09-12 00:30:00,176561.48352376698,176562.3434305578
2022-09-12 04:30:00,176568.3268236951,176562.43548275996
2022-09-12 08:30:00,176563.58647409917,176562.45292202267
2022-09-12 12:30:00,176572.65581474398,176562.60520400357
2022-09-12 16:30:00,176571.44695602194,176562.73522976856
2022-09-12 20:30:00,176570.82717661164,176562.85250436046
2022-09-13 00:30:00,176557.30698099386,176562.7732825981
2022-09-13 04:30:00,176558.35435964738,176562.71104424668
2022-09-13 08:30:00,176570.97779961245,176562.82586029344
2022-09-13 12:30:00,176564.42034016483,176562.84770248344
2022-09-13 16:30:00,176565.83942302482,176562.8881311394
2022-09-13 20:30:00,176566.8899049436,176562.94148812347
2022-09-14 00:30:00,176569.9580678687,176563.03381154116
2022-09-14 04:30:00,176560.72263095874,176563.00379620894
2022-09-14 08:30:00,176557.8834341418,176562.9381505414
2022-09-14 12:30:00,176564.52372134806,176562.95822105795
2022-09-14 16:30:00,176561.34142462327,176562.93801110252
2022-09-14 20:30:00,176566.42970600427,176562.98111844697
2022-09-15 00:30:00,176556.63941950328,176562.90378065497
2022-09-15 04:30:00,176562.500475244,176562.89892155363
2022-09-15 08:30:00,176562.8207712423,176562.8979911928
2022-09-15 12:30:00,176562.9049456702,176562.89807301018
2022-09-15 16:30:00,176562.99578193764,176562.89920916047
2022-09-15 20:30:00,176568.03631979472,176562.95825640915
2022-09-16 00:30:00,176564.88438705093,176562.98014425737
2022-09-16 04:30:00,176559.11729826411,176562.93674149338
2022-09-16 08:30:00,176557.7144553561,176562.87871609186
2022-09-16 12:30:00,176563.84691603607,176562.88935565169
2022-09-16 16:30:00,176571.44393231373,176562.98234018064
2022-09-16 20:30:00,176567.19540080932,176563.02764190783
2022-09-17 00:30:00,176564.9227067313,176563.0478021719
2022-09-17 04:30:00,176562.658591104,176563.0437052133
2022-09-17 08:30:00,176554.11242206898,176562.95067101388
2022-09-17 12:30:00,176568.6135620071,176563.00905133339
2022-09-17 16:30:00,176572.04161378587,176563.10122033802
2022-09-17 20:30:00,176568.44506194655,176563.1551985361
2022-09-18 00:30:00,176567.9032696447,176563.20267924716
2022-09-18 04:30:00,176554.59029784746,176563.1174081442
2022-09-18 08:30:00,176549.28099941032,176562.98175707815
2022-09-18 12:30:00,176566.69785613954,176563.01783570985
2022-09-18 16:30:00,176567.44546901606,176563.060409107
2022-09-18 20:30:00,176575.68949917026,176563.18068615525
2022-09-19 00:30:00,176570.0367121849,176563.2453656461
2022-09-19 04:30:00,176559.48168344225,176563.21019104606
2022-09-19 08:30:00,176559.99579982593,176563.18042816437
2022-09-19 12:30:00,176569.6472982093,176563.23975724736
2022-09-19 16:30:00,176566.4260054015,176563.26872313966
2022-09-19 20:30:00,176565.09914023423,176563.28521338376
2022-09-20 00:30:00,176572.73666527643,176563.36960134708
2022-09-20 04:30:00,176548.3788324,176563.236939675
2022-09-20 08:30:00,176549.7508083436,176563.11864027733
2022-09-20 12:30:00,176564.2693994255,176563.12864687864
2022-09-20 16:30:00,176563.5489917555,176563.1322705414
2022-09-20 20:30:00,176568.63487346162,176563.17930133553
2022-09-21 00:30:00,176568.54591445133,176563.22478110774
2022-09-21 04:30:00,176552.06931940478,176563.13103773206
2022-09-21 08:30:00,176558.92247266782,176563.09596635654
2022-09-21 12:30:00,176568.348423151,176563.13937509037
2022-09-21 16:30:00,176561.4414402348,176563.12545759155
2022-09-21 20:30:00,176560.64183252165,176563.10526551784
2022-09-22 00:30:00,176567.00467348288,176563.13671235627
2022-09-22 04:30:00,176564.97696250855,176563.15143435748
2022-09-22 08:30:00,176556.72331648407,176563.10041754897
2022-09-22 12:30:00,176563.02563545143,176563.09982871352
2022-09-22 16:30:00,176561.86499382078,176563.09018156593
2022-09-22 20:30:00,176564.49294253328,176563.10105568197
2022-09-23 00:30:00,176569.56602676402,176563.15078622874
2022-09-23 04:30:00,176558.87351519678,176563.11813530483
2022-09-23 08:30:00,176554.17098709775,176563.05035387902
2022-09-23 12:30:00,176560.38337797503,176563.03030142863
2022-09-23 16:30:00,176559.85559007464,176563.00660955286
2022-09-23 20:30:00,176561.5103653631,176562.99552626256
2022-09-24 00:30:00,176564.86903706213,176563.00930207723
2022-09-24 04:30:00,176561.93998723413,176563.00149685942
2022-09-24 08:30:00,176547.0937993992,176562.88622368942
2022-09-24 12:30:00,176554.5171596716,176562.82601459575
2022-09-24 16:30:00,176564.3728373211,176562.83706332953
